epoch,train acc,val acc
1,0.2188,0.3845
2,0.3337,0.3858
3,0.3351,0.3916
4,0.3213,0.366
5,0.3031,0.3388
6,0.2902,0.3261
7,0.2724,0.3126
8,0.2736,0.3303
9,0.2809,0.3416
10,0.288,0.3397
11,0.2964,0.3516
12,0.3055,0.3666
13,0.3137,0.3675
14,0.32,0.3834
15,0.3293,0.387
16,0.337,0.3974
17,0.3462,0.4034
18,0.3528,0.406
19,0.3635,0.4246
20,0.373,0.4369
21,0.3793,0.4424
22,0.3896,0.454
23,0.3996,0.463
24,0.4077,0.4804
25,0.4183,0.4843
26,0.4244,0.4974
27,0.434,0.5032
28,0.4402,0.5088
29,0.4496,0.5204
30,0.4512,0.5181
31,0.4558,0.5298
32,0.4632,0.537
33,0.4654,0.5346
34,0.4736,0.5417
35,0.4784,0.5538
36,0.4809,0.5444
37,0.4845,0.5596
38,0.4926,0.5645
39,0.4938,0.5593
40,0.4976,0.5672
41,0.5017,0.5762
42,0.4963,0.5588
43,0.5011,0.5659
44,0.5078,0.5853
45,0.5109,0.5827
46,0.5162,0.583
47,0.5215,0.593
48,0.5225,0.5872
49,0.5236,0.5906
50,0.5249,0.6026
51,0.5236,0.5948
52,0.5308,0.6088
53,0.5307,0.6013
54,0.5336,0.5974
55,0.5312,0.5986
56,0.5404,0.6002
57,0.5346,0.5999
58,0.5366,0.612
59,0.5405,0.6062
60,0.5425,0.5944
61,0.5445,0.6135
62,0.5475,0.6099
63,0.546,0.608
64,0.5472,0.6018
65,0.5467,0.6146
66,0.5449,0.6036
67,0.551,0.608
68,0.5482,0.6035
69,0.5474,0.611
70,0.5521,0.6079
71,0.5531,0.6097
72,0.5494,0.616
73,0.5532,0.6067
74,0.554,0.6054
75,0.552,0.5959
76,0.5537,0.6083
77,0.5578,0.6106
78,0.5561,0.6132
79,0.5547,0.6137
80,0.5562,0.6073
81,0.5569,0.611
82,0.5556,0.6194
83,0.5582,0.6088
84,0.5604,0.6088
85,0.5592,0.6089
86,0.561,0.6078
87,0.5618,0.6122
88,0.5636,0.6144
89,0.5631,0.608
90,0.562,0.61
91,0.5634,0.6118
92,0.5632,0.6063
93,0.5679,0.6123
94,0.5634,0.5958
95,0.5663,0.6014
96,0.5671,0.5991
97,0.5667,0.6124
98,0.5696,0.6114
99,0.5675,0.6103
