epoch,train acc,val acc
1,0.1134,0.2226
2,0.2566,0.3628
3,0.3253,0.3863
4,0.3322,0.3863
5,0.3322,0.3876
6,0.3341,0.3895
7,0.3337,0.3853
8,0.3345,0.3892
9,0.331,0.3798
10,0.3214,0.3674
11,0.3103,0.3549
12,0.3024,0.3496
13,0.2994,0.3495
14,0.2952,0.3454
15,0.29,0.3407
16,0.2882,0.3398
17,0.2823,0.3258
18,0.2709,0.3246
19,0.2668,0.3213
20,0.2664,0.3308
21,0.2693,0.324
22,0.2716,0.3289
23,0.2722,0.3286
24,0.2745,0.3304
25,0.2755,0.3328
26,0.2767,0.3371
27,0.2803,0.3325
28,0.2835,0.3524
29,0.2883,0.3546
30,0.2901,0.3486
31,0.2967,0.3526
32,0.2982,0.3597
33,0.3006,0.3578
34,0.3049,0.367
35,0.3092,0.3696
36,0.3108,0.3694
37,0.3139,0.3769
38,0.3154,0.3769
39,0.3204,0.3796
40,0.3239,0.383
41,0.3246,0.3856
42,0.327,0.3842
43,0.3306,0.3912
44,0.3362,0.3836
45,0.3368,0.3881
46,0.3386,0.3949
47,0.3435,0.404
48,0.3464,0.404
49,0.3472,0.4102
50,0.3523,0.4114
51,0.3544,0.4149
52,0.3586,0.4245
53,0.3606,0.4198
54,0.3636,0.4205
55,0.3678,0.4268
56,0.3738,0.4418
57,0.3753,0.4326
58,0.378,0.4362
59,0.3798,0.4282
60,0.382,0.4409
61,0.3835,0.4548
62,0.3895,0.4464
63,0.3902,0.4444
64,0.3916,0.4586
65,0.3942,0.4564
66,0.4004,0.4682
67,0.403,0.4674
68,0.4034,0.468
69,0.4112,0.4688
70,0.4146,0.4656
71,0.4149,0.4756
72,0.4178,0.4835
73,0.4214,0.4824
74,0.4245,0.4839
75,0.4259,0.4972
76,0.429,0.4978
77,0.4292,0.5037
78,0.4357,0.5089
79,0.4428,0.5165
80,0.4395,0.505
81,0.4464,0.5104
82,0.4429,0.5182
83,0.4504,0.5214
84,0.4526,0.5394
85,0.4558,0.5251
86,0.4535,0.528
87,0.454,0.5349
88,0.4594,0.534
89,0.4645,0.5266
90,0.4653,0.5351
91,0.4674,0.5452
92,0.4672,0.5466
93,0.4713,0.5372
94,0.4752,0.5403
95,0.4723,0.5512
96,0.4739,0.5579
97,0.4772,0.5465
98,0.4806,0.5612
99,0.4786,0.5542
100,0.4819,0.5696
101,0.4815,0.5674
102,0.4836,0.5533
103,0.4846,0.5628
104,0.4833,0.5695
105,0.4882,0.5647
106,0.4896,0.5652
107,0.4932,0.573
108,0.4906,0.564
109,0.499,0.5706
110,0.4974,0.5793
111,0.5,0.5683
112,0.4969,0.5752
113,0.4968,0.5833
114,0.501,0.5838
115,0.5066,0.5771
116,0.5036,0.5851
117,0.5048,0.583
118,0.5104,0.576
119,0.5099,0.5765
120,0.5115,0.5868
121,0.5125,0.588
122,0.514,0.5776
123,0.5156,0.5836
124,0.516,0.592
125,0.5162,0.5884
126,0.518,0.5988
127,0.5184,0.5917
128,0.521,0.5798
129,0.5218,0.5967
130,0.5259,0.5951
131,0.526,0.5906
132,0.5278,0.5976
133,0.5292,0.5951
134,0.5254,0.5906
135,0.5292,0.5893
136,0.5312,0.5984
137,0.5297,0.5892
138,0.5353,0.6063
139,0.5349,0.6048
140,0.5338,0.607
141,0.53,0.6033
142,0.5342,0.6044
143,0.5339,0.6056
144,0.5401,0.6165
145,0.5353,0.6088
146,0.537,0.5988
147,0.5381,0.607
148,0.539,0.602
149,0.5399,0.611
150,0.5435,0.5936
151,0.5384,0.5944
152,0.5397,0.6006
153,0.5405,0.6045
154,0.5416,0.6171
155,0.5445,0.5959
156,0.5414,0.6058
157,0.5459,0.609
158,0.5479,0.6005
159,0.5502,0.6083
160,0.5465,0.6103
161,0.5458,0.6124
162,0.5433,0.6112
163,0.5456,0.6222
164,0.5515,0.6214
165,0.5454,0.625
166,0.5438,0.6064
167,0.548,0.6132
168,0.5524,0.6098
169,0.553,0.6204
170,0.5489,0.6109
171,0.5494,0.6108
172,0.5512,0.6152
173,0.5511,0.6164
174,0.5524,0.6182
175,0.5566,0.6235
176,0.5532,0.6223
177,0.5563,0.6098
178,0.5552,0.6095
179,0.5512,0.605
180,0.5527,0.6052
181,0.5585,0.6198
182,0.5531,0.6135
183,0.559,0.6121
184,0.5592,0.618
185,0.5519,0.6032
186,0.5546,0.6258
187,0.557,0.6058
188,0.5506,0.614
189,0.557,0.6144
190,0.5578,0.6148
191,0.5553,0.6144
192,0.5594,0.6011
193,0.561,0.6204
194,0.5566,0.6033
195,0.5598,0.613
196,0.5612,0.6221
197,0.5584,0.6283
198,0.5641,0.6125
199,0.5683,0.6164
200,0.5616,0.6224
201,0.5587,0.6293
202,0.5576,0.621
203,0.559,0.6196
204,0.5605,0.6185
205,0.5632,0.6123
206,0.5604,0.6098
207,0.5614,0.61
208,0.5647,0.6156
209,0.5652,0.6054
210,0.5638,0.6327
211,0.572,0.6122
212,0.5661,0.6061
213,0.5639,0.6
214,0.5634,0.6073
215,0.5658,0.6088
216,0.5643,0.6043
217,0.5639,0.6028
218,0.5653,0.6078
219,0.5654,0.5974
220,0.5629,0.6246
221,0.5662,0.6054
222,0.5691,0.6053
223,0.5651,0.61
224,0.5668,0.6
225,0.5712,0.6134
226,0.5652,0.6079
227,0.5716,0.5992
228,0.5662,0.5968
229,0.5736,0.5998
230,0.5652,0.6014
