epoch,train loss,test loss
1,7.3653,7.3441
2,7.3387,7.2997
3,7.2979,7.2365
4,7.2417,7.1535
5,7.1739,7.0549
6,7.093,6.9604
7,7.0203,6.8821
8,6.9472,6.8048
9,6.8869,6.7507
10,6.8342,6.7145
11,6.7912,6.6666
12,6.7465,6.6392
13,6.6951,6.6138
14,6.6672,6.5969
15,6.6321,6.5783
16,6.5992,6.5364
17,6.5603,6.5027
18,6.5262,6.449
19,6.4754,6.3965
20,6.4309,6.3462
21,6.3872,6.2931
22,6.34,6.2459
23,6.3096,6.2275
24,6.2719,6.1781
25,6.2272,6.151
26,6.1889,6.1145
27,6.1488,6.0841
28,6.1098,6.0347
29,6.0697,6.0047
30,6.0335,5.9921
31,6.0,5.9445
32,5.9684,5.9098
33,5.9362,5.8835
34,5.9,5.8401
35,5.865,5.8133
36,5.834,5.7823
37,5.7969,5.7505
38,5.7692,5.7479
39,5.7561,5.6982
40,5.7079,5.6864
41,5.6761,5.64
42,5.6468,5.6158
43,5.6238,5.5944
44,5.6011,5.6036
45,5.5667,5.5742
46,5.5463,5.5406
47,5.5167,5.5141
48,5.4938,5.4698
49,5.483,5.4501
50,5.4474,5.441
51,5.4209,5.3985
52,5.4012,5.3624
53,5.3796,5.3672
54,5.3581,5.3622
55,5.3279,5.3277
56,5.2963,5.2554
57,5.2793,5.286
58,5.2592,5.2811
59,5.2508,5.2753
60,5.2222,5.2337
61,5.1978,5.1749
62,5.1751,5.1956
63,5.1563,5.1685
64,5.1458,5.1401
65,5.1178,5.1502
66,5.0944,5.0971
67,5.0657,5.1027
68,5.0583,5.0639
69,5.0266,5.0537
70,5.0047,5.1626
71,4.9961,5.0299
72,4.9635,5.0181
73,4.9497,5.014
74,4.934,4.9925
75,4.9118,4.9594
76,4.8988,4.9318
77,4.8792,4.9042
78,4.8417,4.9037
79,4.8222,4.8706
80,4.8169,4.9067
81,4.7845,4.8957
82,4.7828,4.8475
83,4.7507,4.8248
84,4.7398,4.7644
85,4.7122,4.7928
86,4.7037,4.8001
87,4.6826,4.7515
88,4.6579,4.7398
89,4.6281,4.7945
90,4.6072,4.7422
91,4.5917,4.6823
92,4.5806,4.677
93,4.5573,4.706
94,4.523,4.7113
95,4.5459,4.5957
96,4.5004,4.6012
97,4.4922,4.6669
98,4.4677,4.5843
99,4.4578,4.6264
100,4.4426,4.5425
101,4.4191,4.5418
102,4.4135,4.6056
103,4.3891,4.5625
104,4.3772,4.5289
105,4.3464,4.5607
106,4.3251,4.585
107,4.3185,4.4872
108,4.3132,4.5461
109,4.2693,4.5245
110,4.2608,4.4563
111,4.2448,4.4941
112,4.2501,4.4601
113,4.237,4.445
114,4.2063,4.454
115,4.1892,4.4868
116,4.1814,4.407
117,4.1605,4.4391
118,4.1317,4.4805
119,4.13,4.4628
120,4.1091,4.3715
121,4.0877,4.3621
122,4.0764,4.4908
123,4.0571,4.43
124,4.0572,4.4284
125,4.0421,4.4185
126,4.0277,4.3378
127,4.0109,4.4109
128,3.9949,4.3799
129,3.9933,4.3367
130,3.9549,4.3506
131,3.9462,4.356
132,3.9311,4.2936
133,3.9155,4.3172
134,3.9138,4.3365
135,3.9045,4.355
136,3.8879,4.3089
137,3.873,4.3223
138,3.8497,4.216
139,3.8418,4.2389
140,3.8388,4.204
141,3.8516,4.2251
142,3.7991,4.216
143,3.8057,4.1827
144,3.7823,4.1174
145,3.786,4.1919
146,3.7718,4.2649
147,3.7633,4.1953
148,3.7438,4.2283
149,3.7329,4.1527
150,3.7106,4.2364
151,3.723,4.2899
152,3.7001,4.2448
153,3.7094,4.2057
154,3.685,4.0732
155,3.664,4.2088
156,3.6731,4.1115
157,3.6421,4.1414
158,3.6324,4.1616
159,3.6124,4.1506
160,3.6161,4.1222
161,3.6075,4.0905
162,3.6174,4.0729
163,3.5933,4.0508
164,3.5613,4.0335
165,3.5832,3.9716
166,3.5854,4.1581
167,3.5542,4.0576
168,3.5273,4.1029
169,3.5176,3.9696
170,3.5287,4.0997
171,3.5255,4.0579
172,3.5093,4.0355
173,3.5019,4.0398
174,3.4855,4.0252
175,3.4565,3.9963
176,3.4834,3.9744
177,3.4439,4.0341
178,3.4475,4.1157
179,3.4522,4.1117
180,3.4429,4.1241
181,3.4052,4.0569
182,3.4406,4.0189
183,3.3993,4.0161
184,3.398,3.9737
185,3.4259,4.1149
186,3.3949,3.9424
187,3.3847,4.1029
188,3.3966,4.0554
189,3.3727,4.0151
190,3.3604,4.0497
191,3.3627,4.0549
192,3.3443,4.1605
193,3.3278,3.985
194,3.3461,4.098
195,3.3275,4.0522
196,3.3111,4.0007
197,3.3173,3.9359
198,3.284,4.0307
199,3.2577,4.067
200,3.2856,3.9654
201,3.3013,3.9136
202,3.2961,4.0121
203,3.2844,3.9967
204,3.2794,4.0603
205,3.2503,4.0039
206,3.2644,4.0498
207,3.26,4.084
208,3.2362,4.0452
209,3.234,4.1045
210,3.229,3.8818
211,3.1909,4.058
212,3.2034,4.1243
213,3.2128,4.1761
214,3.209,4.0784
215,3.1952,4.1161
216,3.199,4.136
217,3.1978,4.1423
218,3.1862,4.0836
219,3.1867,4.2024
220,3.1876,3.9391
221,3.1599,4.147
222,3.1374,4.1024
223,3.1632,4.1073
224,3.1406,4.1426
225,3.1206,4.0584
226,3.1417,4.0698
227,3.105,4.1699
228,3.1352,4.1875
229,3.0937,4.1746
230,3.1289,4.1659
