epoch,train loss,test loss
1,7.365,7.3432
2,7.3386,7.2969
3,7.298,7.2347
4,7.2442,7.1525
5,7.179,7.0592
6,7.1059,6.9677
7,7.0338,6.8939
8,6.9658,6.8144
9,6.9038,6.7484
10,6.855,6.7098
11,6.8107,6.6775
12,6.7682,6.6534
13,6.7315,6.6288
14,6.6927,6.597
15,6.6593,6.5838
16,6.6326,6.5513
17,6.609,6.5365
18,6.5868,6.5132
19,6.5508,6.4756
20,6.5179,6.4332
21,6.4883,6.4062
22,6.4487,6.366
23,6.4143,6.318
24,6.383,6.2742
25,6.3495,6.234
26,6.3146,6.1967
27,6.2731,6.163
28,6.2439,6.143
29,6.2074,6.0947
30,6.1735,6.0868
31,6.1492,6.0291
32,6.121,6.0029
33,6.0928,5.9848
34,6.0478,5.9592
35,6.0244,5.9161
36,5.9995,5.9011
37,5.9627,5.8635
38,5.9241,5.8446
39,5.8965,5.8157
40,5.8671,5.7954
41,5.8406,5.7478
42,5.8123,5.7477
43,5.7833,5.7174
44,5.7559,5.6786
45,5.7251,5.6782
46,5.7032,5.6361
47,5.6725,5.5911
48,5.6367,5.5966
49,5.6195,5.5732
50,5.5937,5.5305
51,5.5703,5.5173
52,5.545,5.4737
53,5.5141,5.4738
54,5.4916,5.4604
55,5.4652,5.433
56,5.4352,5.4089
57,5.4126,5.3903
58,5.3865,5.3537
59,5.3676,5.3368
60,5.3396,5.3488
61,5.3119,5.3093
62,5.2863,5.288
63,5.2622,5.2396
64,5.2381,5.2521
65,5.2213,5.2304
66,5.205,5.2401
67,5.169,5.2026
68,5.1529,5.1878
69,5.1323,5.1715
70,5.1036,5.1597
71,5.0836,5.1447
72,5.0691,5.1056
73,5.0389,5.0909
74,5.02,5.0786
75,5.0052,5.1026
76,4.9739,5.0449
77,4.9536,5.0236
78,4.9364,5.024
79,4.9235,5.0106
80,4.8959,4.99
81,4.8744,4.9659
82,4.8605,4.9828
83,4.846,4.9858
84,4.8227,4.9778
85,4.804,4.9226
86,4.7764,4.8899
87,4.7534,4.9153
88,4.7394,4.8638
89,4.7204,4.8956
90,4.6994,4.8547
91,4.6831,4.8438
92,4.6592,4.8723
93,4.6338,4.8223
94,4.6304,4.8741
95,4.6025,4.8231
96,4.5793,4.8478
97,4.5732,4.7807
98,4.5497,4.7759
99,4.5368,4.7592
100,4.5145,4.7869
101,4.5008,4.7162
102,4.4891,4.7871
103,4.459,4.7449
104,4.4579,4.7258
105,4.4247,4.7135
106,4.4101,4.6936
107,4.4062,4.6562
108,4.3843,4.7466
109,4.3522,4.6842
110,4.3476,4.714
111,4.3418,4.6272
112,4.3179,4.6611
113,4.2856,4.7005
114,4.2868,4.6456
115,4.262,4.6413
116,4.243,4.6023
117,4.2323,4.5967
118,4.2233,4.584
119,4.2074,4.6368
120,4.1829,4.5456
121,4.1739,4.5322
122,4.1503,4.5595
123,4.1482,4.5781
124,4.1374,4.5578
125,4.1395,4.4966
126,4.1029,4.5835
127,4.0869,4.5486
128,4.0714,4.5213
129,4.0637,4.5668
130,4.0443,4.4572
131,4.0299,4.4891
132,4.0117,4.4138
133,3.9978,4.4737
134,3.9908,4.506
135,3.9842,4.433
136,3.9703,4.444
137,3.9565,4.4072
138,3.9495,4.4117
139,3.9281,4.3778
140,3.9166,4.397
141,3.9024,4.3704
142,3.9116,4.3742
143,3.8904,4.424
144,3.8827,4.3087
145,3.8683,4.3537
146,3.8503,4.4325
147,3.8543,4.2946
148,3.8334,4.3456
149,3.8272,4.333
150,3.8054,4.3615
151,3.8003,4.3117
152,3.7892,4.3532
153,3.7771,4.3472
154,3.7653,4.2844
155,3.7466,4.3118
156,3.7415,4.3249
157,3.749,4.3173
158,3.7344,4.324
159,3.7276,4.363
160,3.7162,4.2683
161,3.7051,4.3226
162,3.7005,4.3203
163,3.679,4.3641
164,3.6829,4.3199
165,3.6662,4.3143
166,3.6495,4.2159
167,3.6465,4.2416
168,3.6483,4.2214
169,3.6023,4.2854
170,3.6169,4.243
171,3.6035,4.2475
172,3.6068,4.3014
173,3.583,4.2134
174,3.5608,4.3269
175,3.5597,4.225
176,3.567,4.328
177,3.5397,4.1923
178,3.5459,4.222
179,3.5334,4.2328
180,3.5336,4.2229
181,3.5197,4.2362
182,3.4997,4.2022
183,3.5051,4.2048
184,3.4916,4.3121
185,3.4782,4.2242
186,3.4729,4.258
187,3.47,4.2115
188,3.4657,4.3291
189,3.4524,4.2514
190,3.4563,4.3472
191,3.4412,4.2162
192,3.4444,4.2645
193,3.4138,4.2312
194,3.4215,4.1832
195,3.4031,4.3757
196,3.4204,4.2183
197,3.3964,4.3535
198,3.4059,4.3364
199,3.3764,4.3176
200,3.38,4.3311
201,3.3707,4.2423
202,3.3506,4.3122
203,3.3623,4.2163
204,3.3318,4.2906
205,3.354,4.2837
206,3.3513,4.246
207,3.3288,4.352
208,3.328,4.3258
209,3.3289,4.3677
210,3.3181,4.3743
211,3.2983,4.3474
212,3.2897,4.2544
213,3.3175,4.2793
214,3.3102,4.3064
