epoch,train acc,val acc
1,0.1002,0.1432
2,0.1534,0.2349
3,0.1969,0.2777
4,0.2331,0.3506
5,0.2694,0.3596
6,0.2816,0.3779
7,0.2918,0.388
8,0.2964,0.39
9,0.297,0.3906
10,0.2974,0.3919
11,0.2971,0.3917
12,0.2972,0.3922
13,0.2974,0.3912
14,0.298,0.3909
15,0.2986,0.3907
16,0.3006,0.3912
17,0.3017,0.3908
18,0.3029,0.3905
19,0.3044,0.3906
20,0.3056,0.3907
21,0.3073,0.3906
22,0.3084,0.3906
23,0.309,0.39
24,0.3094,0.3903
25,0.3092,0.3904
26,0.3086,0.3915
27,0.3082,0.3909
28,0.3074,0.3909
29,0.3081,0.3914
30,0.3076,0.3912
31,0.3072,0.391
32,0.3054,0.3908
33,0.3044,0.3894
34,0.2978,0.3822
35,0.29,0.3727
36,0.2871,0.3596
37,0.2794,0.3464
38,0.2696,0.3321
39,0.266,0.3228
40,0.2562,0.3168
41,0.251,0.2997
42,0.2462,0.2972
43,0.2457,0.3033
44,0.248,0.3076
45,0.2444,0.3078
46,0.2444,0.314
47,0.2472,0.3045
48,0.2404,0.2998
49,0.2402,0.2978
50,0.2382,0.2989
51,0.2335,0.2916
52,0.236,0.2902
53,0.2264,0.2836
54,0.2292,0.2852
55,0.2256,0.2826
56,0.2252,0.2826
57,0.2255,0.279
58,0.223,0.2662
59,0.2174,0.2758
60,0.2176,0.2685
61,0.2159,0.261
62,0.214,0.2636
63,0.2108,0.2482
64,0.2057,0.2604
65,0.206,0.2593
66,0.2078,0.2602
67,0.206,0.259
68,0.2064,0.2582
69,0.2035,0.257
70,0.2048,0.2579
71,0.2064,0.2517
72,0.2039,0.2536
73,0.2031,0.2576
74,0.2049,0.2588
75,0.2048,0.2606
76,0.2062,0.2623
77,0.206,0.2648
78,0.2071,0.2723
79,0.2104,0.274
80,0.21,0.2721
81,0.2114,0.2744
82,0.2132,0.2746
83,0.217,0.2764
84,0.2184,0.2736
85,0.2186,0.2751
86,0.2197,0.2752
87,0.219,0.2762
88,0.2198,0.2753
89,0.219,0.2788
90,0.2194,0.2776
91,0.2196,0.2798
92,0.2209,0.2824
93,0.2228,0.2788
94,0.2243,0.2808
95,0.2229,0.28
96,0.2246,0.284
97,0.2238,0.2802
98,0.2274,0.2874
99,0.2304,0.2866
100,0.2311,0.2864
101,0.2304,0.2922
102,0.2346,0.2996
103,0.2352,0.2934
104,0.235,0.3011
105,0.2364,0.2947
106,0.2364,0.2944
107,0.2362,0.2955
108,0.2369,0.3018
109,0.2392,0.2962
110,0.2379,0.2923
111,0.2398,0.2988
112,0.2405,0.3003
113,0.2426,0.3002
114,0.2408,0.3019
115,0.2407,0.3035
116,0.2428,0.3032
117,0.2448,0.2998
118,0.2429,0.3031
119,0.242,0.3008
120,0.2427,0.3043
121,0.2421,0.3053
122,0.2439,0.3228
123,0.245,0.3056
124,0.2432,0.3042
125,0.2428,0.3024
126,0.2436,0.3066
127,0.2435,0.3068
128,0.2434,0.3098
129,0.2428,0.3066
130,0.2436,0.3072
131,0.2428,0.3108
132,0.245,0.3116
133,0.2454,0.3094
134,0.2448,0.3081
135,0.2444,0.3113
136,0.2456,0.3114
137,0.2447,0.3134
138,0.2462,0.3103
139,0.2443,0.3114
140,0.2451,0.3107
141,0.2456,0.3142
142,0.2463,0.3075
143,0.2459,0.3122
144,0.2458,0.3133
145,0.2465,0.3136
146,0.2444,0.3131
147,0.2453,0.3106
148,0.2452,0.3139
149,0.246,0.3093
150,0.2459,0.3077
151,0.246,0.3112
152,0.247,0.3122
153,0.2462,0.3156
154,0.2469,0.3114
155,0.2463,0.3166
156,0.2454,0.3143
157,0.2435,0.3134
158,0.2411,0.3075
159,0.2382,0.3102
160,0.2376,0.3048
161,0.2345,0.3031
162,0.23,0.3008
163,0.2287,0.2951
164,0.2267,0.2952
165,0.2256,0.2938
166,0.2266,0.2952
167,0.223,0.2997
168,0.2224,0.2944
169,0.2214,0.2924
170,0.221,0.2946
171,0.221,0.2958
172,0.2222,0.2946
173,0.2212,0.2946
174,0.2214,0.2932
175,0.2214,0.2944
176,0.2204,0.296
177,0.2191,0.2934
178,0.218,0.2948
179,0.221,0.2911
180,0.2186,0.2913
