epoch,train loss,test loss
1,7.3641,7.3257
2,7.3593,7.3203
3,7.3539,7.3141
4,7.3468,7.305
5,7.3381,7.2896
6,7.3244,7.2661
7,7.3012,7.2245
8,7.2593,7.1485
9,7.2073,7.0757
10,7.1595,7.0088
11,7.1161,6.9578
12,7.0812,6.9206
13,7.0565,6.8975
14,7.033,6.8749
15,7.012,6.8543
16,6.9948,6.8364
17,6.9732,6.8184
18,6.9505,6.8029
19,6.929,6.7849
20,6.9084,6.7707
21,6.8921,6.758
22,6.872,6.7461
23,6.8538,6.7383
24,6.8418,6.7367
25,6.8254,6.7308
26,6.8102,6.7267
27,6.7954,6.7201
28,6.7797,6.7178
29,6.7669,6.715
30,6.7553,6.7081
31,6.7471,6.7053
32,6.7341,6.7061
33,6.728,6.7022
34,6.7202,6.7061
35,6.7167,6.7049
36,6.7068,6.702
37,6.7008,6.6973
38,6.693,6.6927
39,6.6861,6.6994
40,6.679,6.7054
41,6.6699,6.6953
42,6.6681,6.6943
43,6.6607,6.6952
44,6.657,6.697
45,6.6483,6.6945
46,6.6432,6.6837
47,6.6393,6.6875
48,6.6355,6.6866
49,6.6275,6.6834
50,6.6209,6.6856
51,6.6153,6.6772
52,6.6116,6.6801
53,6.6061,6.6734
54,6.6018,6.6684
55,6.5975,6.6675
56,6.5895,6.6686
57,6.5851,6.6651
58,6.5807,6.6584
59,6.5745,6.6586
60,6.569,6.6601
61,6.5648,6.6556
62,6.5562,6.6521
63,6.551,6.6471
64,6.5494,6.6406
65,6.5407,6.6231
66,6.5378,6.6309
67,6.5316,6.6269
68,6.5273,6.6247
69,6.5209,6.6243
70,6.5132,6.6121
71,6.5093,6.6169
72,6.5046,6.6001
73,6.499,6.6008
74,6.4922,6.5983
75,6.484,6.5976
76,6.4789,6.5837
77,6.474,6.5782
78,6.4693,6.5755
79,6.4632,6.5649
80,6.4562,6.5723
81,6.4493,6.5434
82,6.4428,6.5556
83,6.4363,6.5424
84,6.4299,6.5435
85,6.4238,6.537
86,6.4157,6.5272
87,6.4096,6.509
88,6.4025,6.5179
89,6.3983,6.5074
90,6.3914,6.5081
91,6.3829,6.4901
92,6.3765,6.479
93,6.3694,6.4878
94,6.364,6.4764
95,6.3566,6.4676
96,6.3461,6.4547
97,6.3383,6.4531
98,6.3312,6.4423
99,6.3215,6.4241
100,6.3162,6.4273
101,6.3052,6.4151
102,6.2975,6.4099
103,6.2897,6.3915
104,6.2832,6.3998
105,6.27,6.3927
106,6.2662,6.378
107,6.2547,6.3834
108,6.2498,6.3675
109,6.2418,6.3635
110,6.2343,6.3584
111,6.2253,6.3399
112,6.2211,6.3334
113,6.2134,6.3327
114,6.2048,6.3232
115,6.1975,6.3019
116,6.1903,6.3125
117,6.1796,6.3013
118,6.171,6.2918
119,6.1672,6.2723
120,6.1608,6.2813
121,6.1523,6.2725
122,6.1441,6.2778
123,6.1432,6.2638
124,6.1322,6.2555
125,6.1203,6.2541
126,6.1198,6.2315
127,6.1084,6.2303
128,6.103,6.2178
129,6.0967,6.208
130,6.0884,6.2088
131,6.0794,6.1903
132,6.0721,6.1897
133,6.0688,6.1813
134,6.0589,6.1883
135,6.0503,6.171
136,6.0469,6.1588
137,6.0347,6.147
138,6.0327,6.1512
139,6.0183,6.1406
140,6.0131,6.1372
141,6.0061,6.1227
142,6.0002,6.1274
143,5.9924,6.1231
144,5.9868,6.0987
145,5.9791,6.1015
146,5.97,6.0925
147,5.9645,6.0856
148,5.9559,6.0799
149,5.948,6.0845
150,5.9398,6.0697
151,5.9332,6.0691
152,5.9278,6.0558
153,5.9237,6.056
154,5.9094,6.0496
155,5.9045,6.0369
156,5.8939,6.0217
157,5.895,6.0391
158,5.882,6.0306
159,5.8812,6.0228
160,5.8668,5.999
161,5.8628,6.0111
162,5.8515,6.0134
163,5.8468,6.0098
164,5.8422,5.9908
165,5.8334,5.9864
166,5.83,5.9832
167,5.8254,5.9769
168,5.8171,5.9669
169,5.8096,5.9776
170,5.804,5.9649
171,5.8006,5.9515
172,5.7993,5.9459
173,5.7853,5.9455
174,5.7801,5.9421
175,5.7752,5.9336
176,5.7705,5.9208
177,5.7605,5.9222
178,5.7563,5.9064
179,5.7457,5.9183
180,5.7454,5.914
181,5.7356,5.9026
182,5.7362,5.8969
183,5.7305,5.8871
184,5.7196,5.8964
185,5.7153,5.8678
186,5.7075,5.8653
187,5.7011,5.8678
188,5.702,5.8759
189,5.6938,5.863
190,5.6826,5.8592
191,5.6826,5.8604
192,5.6752,5.8419
193,5.669,5.8349
194,5.6651,5.8348
195,5.6581,5.8343
196,5.6545,5.8379
197,5.653,5.8338
198,5.6419,5.8179
199,5.6378,5.8173
200,5.6334,5.803
201,5.6295,5.811
202,5.6247,5.8145
203,5.6211,5.8074
204,5.613,5.7988
205,5.6115,5.7941
206,5.6045,5.7864
207,5.5963,5.7791
208,5.5914,5.7876
209,5.5935,5.7688
210,5.5829,5.7737
211,5.5771,5.7605
212,5.5725,5.7626
213,5.5698,5.7653
214,5.5585,5.7495
215,5.5546,5.7474
216,5.5545,5.7231
217,5.5468,5.748
218,5.5429,5.7442
219,5.537,5.7289
220,5.5367,5.7287
221,5.5279,5.7234
222,5.5228,5.7072
223,5.5229,5.7245
224,5.516,5.7386
225,5.5097,5.7144
226,5.504,5.7028
227,5.4978,5.6964
228,5.4973,5.7017
229,5.491,5.7067
230,5.4866,5.6901
231,5.4897,5.6798
232,5.4819,5.696
233,5.4785,5.6898
234,5.4673,5.6745
235,5.468,5.6677
236,5.4634,5.679
237,5.4568,5.6728
238,5.4518,5.6586
239,5.4504,5.6745
240,5.4403,5.6632
241,5.4461,5.6522
242,5.437,5.6584
243,5.4323,5.6439
244,5.4308,5.6576
245,5.423,5.64
246,5.4215,5.6451
247,5.4162,5.6292
248,5.4106,5.633
249,5.4109,5.6365
250,5.403,5.622
251,5.4063,5.6283
252,5.3972,5.6285
253,5.392,5.618
254,5.3861,5.6203
255,5.3841,5.6299
256,5.3806,5.6292
257,5.3798,5.6255
258,5.3765,5.6194
259,5.3718,5.6089
260,5.3641,5.5983
261,5.3675,5.5968
262,5.356,5.5923
263,5.362,5.5905
264,5.3454,5.5983
265,5.3473,5.5824
266,5.3416,5.5953
267,5.3437,5.5874
268,5.3352,5.5906
269,5.3367,5.5864
270,5.3287,5.5832
271,5.323,5.5837
272,5.3253,5.5919
273,5.3203,5.5753
274,5.3208,5.5677
275,5.3248,5.5713
276,5.3125,5.5839
277,5.3026,5.58
278,5.3088,5.565
279,5.3027,5.5576
280,5.2971,5.5574
281,5.2934,5.5789
282,5.2909,5.5617
283,5.29,5.5555
284,5.2893,5.5501
285,5.2829,5.5497
286,5.279,5.5662
287,5.2817,5.5543
288,5.2775,5.5559
289,5.2693,5.5517
290,5.2625,5.547
291,5.2612,5.5351
292,5.2631,5.5447
293,5.26,5.5554
294,5.259,5.5412
295,5.2523,5.5349
296,5.2436,5.5345
297,5.2425,5.5483
298,5.2384,5.5291
299,5.243,5.5215
300,5.2332,5.5183
301,5.2283,5.5349
302,5.2526,5.5584
303,5.2369,5.5459
304,5.234,5.5382
305,5.221,5.5292
306,5.2241,5.5263
307,5.2166,5.5229
308,5.2136,5.5185
309,5.2037,5.521
310,5.2123,5.5201
311,5.2128,5.5191
312,5.2036,5.5151
313,5.1965,5.514
314,5.1986,5.508
315,5.1916,5.5083
316,5.1907,5.5189
317,5.1972,5.5058
318,5.1841,5.5028
319,5.1849,5.5088
