epoch,train acc,val acc
1,0.0726,0.0519
2,0.185,0.3231
3,0.3245,0.3877
4,0.3274,0.3891
5,0.3281,0.3913
6,0.3283,0.3913
7,0.3274,0.3901
8,0.326,0.3886
9,0.3206,0.3822
10,0.3168,0.3722
11,0.3034,0.3681
12,0.2962,0.3604
13,0.2944,0.3446
14,0.2836,0.3447
15,0.2774,0.339
16,0.2754,0.3278
17,0.2686,0.3166
18,0.2646,0.3173
19,0.2608,0.3068
20,0.2554,0.3041
21,0.2518,0.3025
22,0.2506,0.3037
23,0.2524,0.301
24,0.2537,0.2994
25,0.2562,0.2978
26,0.2573,0.3018
27,0.2593,0.3026
28,0.2625,0.3056
29,0.2631,0.299
30,0.2533,0.2883
31,0.2464,0.2674
32,0.2345,0.2706
33,0.2373,0.2642
34,0.229,0.2592
35,0.2265,0.2518
36,0.2288,0.267
37,0.2349,0.2682
38,0.2384,0.2779
39,0.2492,0.2843
40,0.2531,0.2953
41,0.257,0.3005
42,0.2603,0.3006
43,0.2634,0.3097
44,0.2652,0.3111
45,0.2682,0.314
46,0.27,0.3194
47,0.2718,0.3183
48,0.2746,0.3191
49,0.2776,0.3252
50,0.277,0.3268
51,0.2805,0.3288
52,0.2816,0.3303
53,0.2816,0.3321
54,0.2845,0.3357
55,0.2862,0.3375
56,0.2884,0.3378
57,0.29,0.3356
58,0.2894,0.3375
59,0.2922,0.342
60,0.2936,0.3419
61,0.2967,0.3418
62,0.296,0.348
63,0.2992,0.3482
64,0.3004,0.3477
65,0.3015,0.3503
66,0.3046,0.3533
67,0.3064,0.3546
68,0.3056,0.3574
69,0.3093,0.3628
70,0.3143,0.3596
71,0.3118,0.36
72,0.3141,0.3637
73,0.3174,0.365
74,0.316,0.3698
75,0.3194,0.3612
76,0.3198,0.372
77,0.3224,0.3796
78,0.3224,0.3737
79,0.323,0.3784
80,0.326,0.3773
81,0.3282,0.3762
82,0.3259,0.381
83,0.3287,0.3844
84,0.3272,0.3853
85,0.3314,0.3873
86,0.3328,0.3861
87,0.3336,0.3862
88,0.3358,0.3807
89,0.334,0.391
90,0.3347,0.3911
91,0.337,0.3851
92,0.337,0.3911
93,0.3392,0.3903
94,0.3402,0.3968
95,0.342,0.3914
96,0.3408,0.3952
97,0.3412,0.3924
98,0.3443,0.4022
99,0.345,0.399
100,0.3461,0.3998
101,0.3458,0.404
102,0.348,0.4029
103,0.3498,0.4078
104,0.348,0.409
105,0.3521,0.4065
106,0.3504,0.4096
107,0.3502,0.41
108,0.3521,0.413
109,0.3539,0.4122
110,0.3556,0.4041
111,0.3542,0.4182
112,0.3565,0.4088
113,0.3572,0.4146
114,0.3578,0.4054
115,0.357,0.4177
116,0.3589,0.4179
117,0.3591,0.4234
118,0.3618,0.4162
119,0.3605,0.4171
120,0.361,0.4163
121,0.3615,0.4198
122,0.3626,0.4129
123,0.3632,0.422
124,0.3647,0.427
125,0.3641,0.4224
126,0.3678,0.4274
127,0.3672,0.4234
128,0.3674,0.4302
129,0.3718,0.4264
130,0.3696,0.4282
131,0.3715,0.425
132,0.3716,0.4245
133,0.3701,0.4245
134,0.3714,0.4372
135,0.3747,0.4355
136,0.3745,0.4344
137,0.3758,0.4327
138,0.3756,0.4369
139,0.3744,0.4341
140,0.376,0.435
141,0.3774,0.4353
142,0.378,0.4384
143,0.3787,0.4354
144,0.3792,0.442
145,0.38,0.4386
146,0.3797,0.4454
147,0.3803,0.4408
148,0.381,0.4407
149,0.3822,0.4414
150,0.3825,0.4406
151,0.3836,0.4446
152,0.3845,0.4441
153,0.3847,0.4465
154,0.3833,0.4481
155,0.3871,0.4418
156,0.3844,0.4432
157,0.3872,0.4449
158,0.387,0.4428
159,0.3861,0.4495
160,0.3878,0.4418
161,0.3882,0.4458
162,0.3896,0.4406
163,0.389,0.4476
164,0.39,0.4484
165,0.3898,0.448
166,0.3898,0.4492
167,0.3912,0.4518
168,0.3916,0.4487
169,0.3941,0.4524
170,0.3927,0.4512
171,0.394,0.4538
172,0.3952,0.4528
173,0.3935,0.4563
174,0.3962,0.4548
175,0.3954,0.4548
176,0.3959,0.4545
177,0.3963,0.455
178,0.3971,0.4584
179,0.3972,0.4516
180,0.3969,0.4564
181,0.3985,0.4582
182,0.3982,0.455
183,0.3987,0.456
184,0.3994,0.4616
185,0.3998,0.452
186,0.4002,0.4606
187,0.4006,0.461
188,0.4006,0.4544
189,0.3962,0.4554
190,0.4007,0.4614
191,0.4022,0.4601
192,0.4022,0.4566
193,0.4031,0.4536
194,0.4029,0.4569
195,0.404,0.4541
196,0.4024,0.4646
197,0.4042,0.462
198,0.405,0.4653
199,0.4051,0.4618
200,0.4048,0.4612
201,0.4052,0.4643
202,0.4058,0.4581
203,0.4024,0.4629
204,0.4054,0.4696
205,0.407,0.4603
206,0.4068,0.4653
207,0.4074,0.4642
208,0.4075,0.4661
209,0.4081,0.4656
210,0.4088,0.4636
211,0.409,0.4654
212,0.4077,0.4604
213,0.4089,0.4654
214,0.4086,0.4694
215,0.4091,0.4665
216,0.4079,0.467
217,0.4094,0.4682
218,0.4092,0.4571
219,0.4099,0.4668
220,0.4096,0.4663
221,0.4099,0.4609
222,0.4119,0.469
223,0.4112,0.465
224,0.41,0.4684
225,0.409,0.4577
226,0.412,0.4685
227,0.4124,0.466
228,0.413,0.4684
229,0.4128,0.4706
230,0.4126,0.4696
231,0.4134,0.4578
232,0.4142,0.4681
233,0.415,0.4701
234,0.4146,0.4632
235,0.4132,0.4674
236,0.4155,0.4698
237,0.4146,0.4701
238,0.4142,0.4659
239,0.4152,0.4562
240,0.415,0.4674
241,0.4156,0.4702
242,0.4162,0.4526
243,0.4159,0.4676
244,0.4158,0.472
245,0.4163,0.468
246,0.4176,0.4702
247,0.4166,0.4646
248,0.4163,0.4695
249,0.418,0.4738
250,0.4162,0.47
251,0.4184,0.4705
252,0.4188,0.4686
253,0.4185,0.469
254,0.4184,0.4714
255,0.4188,0.464
256,0.4192,0.4639
257,0.4191,0.4713
258,0.4196,0.4724
259,0.4186,0.4746
260,0.4204,0.4702
261,0.4162,0.4673
262,0.4214,0.4672
263,0.4212,0.4671
264,0.4199,0.4719
265,0.421,0.4695
266,0.4212,0.4695
267,0.4204,0.4742
268,0.4221,0.4701
269,0.421,0.4714
270,0.4216,0.4643
271,0.422,0.4653
272,0.4204,0.4704
273,0.4222,0.4687
274,0.422,0.4724
275,0.4224,0.47
276,0.4234,0.4648
277,0.4218,0.4601
278,0.4222,0.471
279,0.4214,0.4699
280,0.4229,0.4662
281,0.4246,0.4705
282,0.4239,0.4726
283,0.4246,0.4746
284,0.4242,0.4708
285,0.4244,0.4714
286,0.4248,0.4734
287,0.4241,0.4748
288,0.424,0.4711
289,0.4256,0.4742
290,0.421,0.4694
291,0.4228,0.4638
292,0.4254,0.4707
293,0.4254,0.4721
294,0.4262,0.474
295,0.426,0.4745
296,0.4258,0.4616
297,0.4245,0.4699
298,0.427,0.4716
299,0.4254,0.4766
300,0.4262,0.4743
301,0.4267,0.4692
302,0.4264,0.4746
303,0.4276,0.4758
304,0.4267,0.4665
305,0.4245,0.4636
306,0.4257,0.4653
307,0.4282,0.4737
308,0.4274,0.4678
309,0.4281,0.4698
310,0.4278,0.4572
311,0.4279,0.4748
312,0.425,0.4599
313,0.4252,0.4704
314,0.4276,0.4738
315,0.4289,0.4705
316,0.4297,0.4723
317,0.4292,0.4622
318,0.4285,0.4755
319,0.4278,0.477
320,0.4282,0.4763
321,0.4278,0.4744
322,0.4293,0.4692
323,0.4286,0.4689
324,0.4298,0.4596
325,0.4268,0.474
326,0.429,0.4712
327,0.4299,0.4768
328,0.4304,0.4734
329,0.4288,0.4669
330,0.4294,0.4782
331,0.4279,0.4752
332,0.4302,0.4744
333,0.4304,0.4708
334,0.43,0.474
335,0.4302,0.467
336,0.4238,0.4554
337,0.426,0.4678
338,0.4298,0.4756
339,0.4302,0.472
340,0.4312,0.4792
341,0.4313,0.4742
342,0.431,0.467
343,0.4323,0.4694
344,0.4309,0.4739
345,0.4322,0.4662
346,0.4322,0.4766
347,0.4314,0.4755
348,0.4314,0.4632
349,0.4298,0.4774
350,0.432,0.4592
351,0.4309,0.47
352,0.4315,0.4728
353,0.4322,0.4739
354,0.4306,0.4796
355,0.4328,0.4658
356,0.4323,0.4746
357,0.4328,0.4745
358,0.4324,0.4706
359,0.4258,0.4704
360,0.4316,0.4686
361,0.4335,0.4728
362,0.4328,0.4713
363,0.4324,0.4726
364,0.4342,0.4764
365,0.434,0.4766
366,0.4332,0.4736
367,0.4344,0.4666
368,0.4336,0.4765
369,0.433,0.4758
370,0.4352,0.4726
371,0.434,0.4676
372,0.4327,0.4678
373,0.4343,0.4736
374,0.433,0.476
375,0.4346,0.474
376,0.4343,0.4638
377,0.4348,0.4651
378,0.4356,0.465
379,0.4348,0.4743
380,0.4347,0.4671
381,0.435,0.4782
382,0.4333,0.4659
383,0.4344,0.4686
384,0.4342,0.4702
385,0.4343,0.4704
386,0.4346,0.4697
387,0.4342,0.4499
388,0.426,0.4611
389,0.4352,0.4708
390,0.4351,0.4754
391,0.4368,0.4731
392,0.437,0.4716
393,0.4357,0.4693
394,0.4348,0.4686
395,0.4354,0.4748
396,0.4364,0.4776
397,0.4358,0.4656
398,0.4364,0.4752
399,0.4372,0.4701
400,0.4366,0.472
401,0.4379,0.4712
402,0.4368,0.4774
403,0.4346,0.4742
404,0.4373,0.467
405,0.4363,0.4784
406,0.4377,0.4687
407,0.436,0.4732
408,0.4366,0.473
409,0.4362,0.473
410,0.4382,0.4624
411,0.4367,0.4785
412,0.4374,0.474
413,0.4371,0.4746
414,0.4376,0.4724
415,0.4349,0.4652
416,0.4368,0.4753
417,0.4355,0.4621
418,0.4391,0.4784
419,0.4386,0.4784
420,0.437,0.4778
421,0.4372,0.4791
422,0.4372,0.4718
423,0.4351,0.4706
424,0.4363,0.469
425,0.4386,0.472
426,0.4354,0.4665
427,0.4387,0.4757
428,0.4374,0.4766
429,0.4382,0.4725
430,0.4369,0.4636
431,0.4394,0.4751
432,0.4388,0.4674
433,0.4392,0.4638
434,0.4372,0.476
435,0.4399,0.4748
436,0.438,0.4723
437,0.4394,0.4788
438,0.4394,0.4806
439,0.4399,0.4543
440,0.4384,0.4722
441,0.4394,0.47
442,0.4406,0.4784
443,0.4396,0.4662
444,0.4406,0.475
445,0.4384,0.4514
446,0.4401,0.4727
447,0.4374,0.4635
448,0.4412,0.4751
449,0.4398,0.4707
450,0.4405,0.4772
451,0.4404,0.4772
452,0.4396,0.4698
453,0.4408,0.4692
454,0.442,0.4776
455,0.4405,0.4724
456,0.4414,0.4747
457,0.4411,0.474
458,0.4404,0.4607
459,0.4414,0.4768
460,0.441,0.4743
461,0.4398,0.4668
462,0.4394,0.4746
463,0.4405,0.472
464,0.4417,0.475
465,0.4411,0.474
466,0.4382,0.4782
467,0.4409,0.4781
468,0.4421,0.4738
469,0.442,0.4714
470,0.4414,0.4704
471,0.4412,0.4732
472,0.4416,0.4784
473,0.4417,0.4738
474,0.4416,0.4678
475,0.4413,0.4714
476,0.4416,0.476
477,0.4414,0.4752
478,0.4422,0.4662
479,0.4424,0.4692
480,0.4418,0.4786
481,0.4426,0.4741
482,0.4436,0.4658
483,0.4412,0.4765
484,0.443,0.4739
485,0.4431,0.475
486,0.4426,0.4714
487,0.4417,0.4776
488,0.4414,0.4799
489,0.4422,0.4723
490,0.4424,0.4666
491,0.4431,0.4699
492,0.4422,0.469
493,0.4412,0.4718
494,0.4425,0.4704
495,0.4412,0.4786
496,0.4378,0.479
497,0.4443,0.4714
498,0.4438,0.4668
499,0.4432,0.4758
500,0.4454,0.4794
