epoch,train loss,test loss
1,7.3478,7.308
2,7.2993,7.2235
3,7.1724,6.984
4,7.0237,6.8739
5,6.9575,6.8242
6,6.9209,6.7933
7,6.8967,6.7765
8,6.8772,6.7624
9,6.8594,6.7491
10,6.8456,6.7353
11,6.829,6.7186
12,6.8106,6.7086
13,6.7927,6.6929
14,6.7736,6.677
15,6.75,6.6546
16,6.7272,6.6479
17,6.7069,6.6342
18,6.6771,6.6062
19,6.6547,6.5871
20,6.6296,6.5606
21,6.6038,6.5393
22,6.5737,6.5165
23,6.5515,6.4859
24,6.5234,6.4786
25,6.4997,6.4492
26,6.4714,6.4251
27,6.4448,6.4018
28,6.4205,6.3767
29,6.3956,6.3583
30,6.367,6.3127
31,6.339,6.3022
32,6.3131,6.2711
33,6.2838,6.2414
34,6.2541,6.2116
35,6.2221,6.1884
36,6.1905,6.1447
37,6.1522,6.1083
38,6.109,6.0548
39,6.0588,5.9947
40,6.015,5.9558
41,5.9789,5.9084
42,5.9437,5.8795
43,5.9107,5.8427
44,5.8837,5.7993
45,5.8506,5.7807
46,5.8247,5.7428
47,5.7985,5.7181
48,5.7718,5.6856
49,5.7482,5.6576
50,5.7255,5.631
51,5.7025,5.6108
52,5.6806,5.5942
53,5.6604,5.5606
54,5.6375,5.5348
55,5.6198,5.5145
56,5.5976,5.5015
57,5.5822,5.4855
58,5.5647,5.4636
59,5.5466,5.449
60,5.5281,5.4241
61,5.5147,5.4112
62,5.4976,5.3977
63,5.484,5.3784
64,5.4677,5.381
65,5.4534,5.3558
66,5.4436,5.3437
67,5.4282,5.3285
68,5.4135,5.316
69,5.4008,5.3036
70,5.3884,5.293
71,5.3782,5.2748
72,5.3652,5.2659
73,5.3554,5.2605
74,5.3465,5.2492
75,5.3349,5.2516
76,5.3241,5.2257
77,5.3119,5.2239
78,5.3018,5.2101
79,5.2933,5.2031
80,5.2841,5.1911
81,5.273,5.1902
82,5.2644,5.1816
83,5.2591,5.1694
84,5.2474,5.1563
85,5.2396,5.1645
86,5.2333,5.1414
87,5.2219,5.1314
88,5.2134,5.1312
89,5.2069,5.1223
90,5.198,5.1049
91,5.1916,5.1085
92,5.1859,5.1047
93,5.1812,5.1038
94,5.1742,5.0795
95,5.158,5.0967
96,5.1519,5.0763
97,5.1458,5.0541
98,5.1404,5.052
99,5.1337,5.0538
100,5.13,5.0462
101,5.1228,5.0382
102,5.1119,5.0436
103,5.1101,5.0248
104,5.0998,5.0292
105,5.0932,5.0054
106,5.0883,5.0176
107,5.0815,5.0056
108,5.079,5.0118
109,5.0721,5.0096
110,5.0644,4.9984
111,5.0601,4.9872
112,5.0488,4.9868
113,5.0457,4.9714
114,5.0402,4.9892
115,5.0395,4.9689
116,5.0276,4.9701
117,5.024,4.9662
118,5.0154,4.9538
119,5.0146,4.9478
120,5.0075,4.9603
121,5.0026,4.9408
122,4.9972,4.941
123,4.9949,4.9177
124,4.9888,4.8997
125,4.9842,4.9228
126,4.9791,4.9118
127,4.976,4.9232
128,4.9675,4.9118
129,4.9604,4.9011
130,4.9597,4.9046
131,4.9583,4.8958
132,4.9496,4.8993
133,4.9454,4.8935
134,4.942,4.8881
135,4.9419,4.8899
136,4.9325,4.8603
137,4.9287,4.8895
138,4.9247,4.877
139,4.9224,4.8776
140,4.9174,4.8589
141,4.9129,4.8632
142,4.9119,4.8668
143,4.9034,4.8506
144,4.8979,4.8388
145,4.897,4.8482
146,4.8933,4.8393
147,4.8874,4.8683
148,4.8851,4.8319
149,4.882,4.8431
150,4.8751,4.8414
151,4.8732,4.8404
152,4.8758,4.8418
153,4.8638,4.8483
154,4.8625,4.8196
155,4.8565,4.826
156,4.856,4.8183
157,4.8562,4.809
158,4.8475,4.8039
159,4.8455,4.7984
160,4.8369,4.7973
161,4.8374,4.8085
162,4.8339,4.8161
163,4.8304,4.7997
164,4.8288,4.8182
165,4.8232,4.7992
166,4.8186,4.7893
167,4.8168,4.7887
168,4.8106,4.7983
169,4.8097,4.7875
170,4.8106,4.7883
171,4.8032,4.783
172,4.7979,4.7811
173,4.7967,4.784
174,4.7944,4.7834
175,4.7855,4.762
176,4.7841,4.7612
177,4.7816,4.7785
178,4.7781,4.7618
179,4.7795,4.7725
180,4.7762,4.7637
181,4.7695,4.774
182,4.7646,4.7544
183,4.7647,4.7387
184,4.7599,4.7412
185,4.7573,4.754
186,4.7542,4.7447
187,4.7528,4.7475
188,4.752,4.7445
189,4.7528,4.7388
190,4.741,4.7401
191,4.7452,4.7281
192,4.7337,4.7376
193,4.7341,4.741
194,4.7315,4.7355
195,4.7273,4.7369
196,4.7245,4.7219
197,4.7249,4.7254
198,4.7246,4.7071
199,4.7186,4.7383
200,4.7154,4.7262
201,4.7108,4.7176
202,4.711,4.7234
203,4.7127,4.7134
204,4.704,4.687
205,4.6992,4.7054
206,4.7027,4.7037
207,4.6952,4.7121
208,4.6925,4.7057
209,4.6904,4.6842
210,4.6884,4.7098
211,4.6833,4.7113
212,4.6822,4.7158
213,4.6839,4.7048
214,4.6806,4.6752
215,4.6771,4.7035
216,4.6751,4.6826
217,4.6688,4.7013
218,4.6675,4.6966
219,4.6648,4.6758
220,4.6623,4.6851
221,4.6607,4.7015
222,4.6577,4.6685
223,4.6565,4.6897
224,4.6546,4.6833
225,4.6565,4.6994
226,4.6448,4.6818
227,4.6525,4.6564
228,4.6428,4.6678
229,4.6425,4.6577
230,4.6386,4.6789
231,4.6357,4.6827
232,4.642,4.6674
233,4.6338,4.6672
234,4.6249,4.6701
235,4.6271,4.685
236,4.6252,4.6841
237,4.623,4.6624
238,4.6187,4.6653
239,4.6187,4.688
240,4.6137,4.671
241,4.6129,4.6437
242,4.6135,4.6855
243,4.6088,4.6501
244,4.6055,4.6463
245,4.6086,4.641
246,4.6021,4.6415
247,4.5999,4.6823
248,4.6026,4.6559
249,4.5947,4.6508
250,4.6046,4.6547
251,4.5949,4.6492
252,4.5901,4.6443
253,4.5876,4.6606
254,4.5876,4.6454
255,4.5825,4.6411
256,4.5822,4.6606
257,4.5803,4.6758
258,4.5789,4.6628
259,4.5802,4.6171
260,4.572,4.6352
261,4.5813,4.6432
262,4.5653,4.6492
263,4.5689,4.648
264,4.5667,4.6418
265,4.5633,4.6391
266,4.5597,4.6121
267,4.5605,4.6156
268,4.56,4.6558
269,4.556,4.6331
270,4.5573,4.6454
271,4.5524,4.626
272,4.5567,4.6442
273,4.5471,4.6237
274,4.5508,4.6333
275,4.5442,4.6353
276,4.5443,4.6595
