epoch,train acc,val acc
1,0.0173,0.017
2,0.0208,0.055
3,0.1906,0.3676
4,0.3058,0.3681
5,0.3049,0.3678
6,0.3144,0.3569
7,0.3178,0.3428
8,0.3306,0.322
9,0.3254,0.3458
10,0.3296,0.3281
11,0.3176,0.3426
12,0.2978,0.3368
13,0.2898,0.3321
14,0.2854,0.3253
15,0.284,0.3309
16,0.2649,0.3085
17,0.2617,0.312
18,0.2659,0.3107
19,0.2644,0.3074
20,0.2615,0.3163
21,0.2632,0.3002
22,0.2609,0.3015
23,0.2598,0.3082
24,0.2654,0.3027
25,0.2631,0.3206
26,0.2669,0.3064
27,0.269,0.3151
28,0.273,0.3206
29,0.2735,0.3085
30,0.2771,0.3139
31,0.2774,0.3126
32,0.275,0.31
33,0.2754,0.2921
34,0.27,0.2922
35,0.2638,0.2914
36,0.261,0.2926
37,0.2652,0.2971
38,0.2656,0.3013
39,0.2664,0.3056
40,0.266,0.3109
41,0.2696,0.316
42,0.2732,0.3084
43,0.2732,0.3178
44,0.274,0.3113
45,0.2759,0.3214
46,0.2788,0.3174
47,0.28,0.3236
48,0.2818,0.3268
49,0.2826,0.3314
50,0.2831,0.3304
51,0.2844,0.333
52,0.287,0.3302
53,0.2894,0.339
54,0.293,0.3402
55,0.2947,0.3396
56,0.2968,0.3402
57,0.2982,0.3432
58,0.2994,0.3451
59,0.3008,0.349
60,0.3041,0.3509
61,0.3056,0.3508
62,0.3072,0.353
63,0.309,0.3552
64,0.3103,0.3578
65,0.313,0.3584
66,0.3128,0.3597
67,0.3148,0.3604
68,0.316,0.3603
69,0.3167,0.3568
70,0.3174,0.363
71,0.3202,0.3655
72,0.3203,0.368
73,0.3224,0.3644
74,0.321,0.3678
75,0.3238,0.3685
76,0.3251,0.3712
77,0.3268,0.3722
78,0.3276,0.374
79,0.3292,0.3719
80,0.3296,0.3757
81,0.3316,0.3777
82,0.3325,0.3756
83,0.3339,0.3775
84,0.3344,0.3807
85,0.3356,0.3808
86,0.3366,0.3857
87,0.3386,0.3839
88,0.3388,0.3874
89,0.3394,0.3838
90,0.3412,0.3848
91,0.3414,0.3842
92,0.3438,0.3887
93,0.3456,0.3858
94,0.3454,0.3918
95,0.347,0.3883
96,0.3485,0.3886
97,0.3498,0.3896
98,0.3485,0.3896
99,0.351,0.3913
100,0.3508,0.3947
101,0.3521,0.3937
102,0.3532,0.3956
103,0.3532,0.3939
104,0.355,0.3972
105,0.3548,0.3925
106,0.3565,0.3948
107,0.3568,0.402
108,0.358,0.3988
109,0.3559,0.4
110,0.3607,0.3979
111,0.36,0.4026
112,0.3606,0.4011
113,0.3613,0.4035
114,0.3622,0.4039
115,0.3627,0.405
116,0.3629,0.4054
117,0.3644,0.4057
118,0.365,0.4076
119,0.3649,0.4082
120,0.3655,0.4036
121,0.368,0.4081
122,0.3676,0.4094
123,0.3684,0.4075
124,0.3689,0.4118
125,0.3697,0.411
126,0.3706,0.41
127,0.3721,0.4136
128,0.3716,0.4099
129,0.373,0.4039
130,0.3723,0.4071
131,0.3751,0.4134
132,0.374,0.4108
133,0.3735,0.413
134,0.3744,0.411
135,0.3758,0.4148
136,0.3759,0.4158
137,0.3772,0.4126
138,0.3778,0.4116
139,0.378,0.4174
140,0.3774,0.4154
141,0.3786,0.4068
142,0.3783,0.4186
143,0.3791,0.4166
144,0.3809,0.4138
145,0.3796,0.4108
146,0.381,0.4153
147,0.3808,0.4196
148,0.3814,0.4151
149,0.383,0.4194
150,0.3828,0.4177
151,0.3835,0.4164
152,0.3832,0.4141
153,0.3836,0.4163
154,0.3843,0.4206
155,0.3857,0.4216
156,0.3852,0.4246
157,0.3871,0.4235
158,0.3862,0.4196
159,0.3868,0.4235
160,0.388,0.4175
161,0.3866,0.4228
162,0.3872,0.4234
163,0.388,0.4228
164,0.3916,0.4254
165,0.389,0.4212
166,0.3894,0.4233
167,0.3901,0.4236
168,0.3909,0.4184
169,0.3904,0.4213
170,0.3929,0.4228
171,0.3908,0.4204
172,0.3922,0.424
173,0.3929,0.4192
174,0.393,0.421
175,0.3932,0.4249
176,0.3932,0.4278
177,0.3945,0.4229
178,0.3936,0.4231
179,0.3948,0.4206
180,0.3956,0.4268
181,0.396,0.4256
182,0.3969,0.4213
183,0.3968,0.4209
184,0.3967,0.4216
185,0.3976,0.4231
186,0.3968,0.4217
187,0.397,0.4206
188,0.3972,0.4247
189,0.3981,0.4265
190,0.3986,0.4276
191,0.3997,0.4284
192,0.4004,0.4278
193,0.3998,0.427
194,0.4009,0.4282
195,0.4018,0.4206
196,0.4012,0.4256
197,0.4014,0.423
198,0.4023,0.424
199,0.4017,0.423
200,0.4016,0.426
201,0.4027,0.4229
202,0.4037,0.426
203,0.4038,0.4254
204,0.4042,0.424
205,0.4033,0.4278
206,0.4058,0.4224
207,0.4044,0.4258
208,0.4047,0.4266
209,0.4042,0.4282
210,0.4062,0.429
211,0.4072,0.4218
212,0.4059,0.4304
213,0.4069,0.4269
214,0.4072,0.4281
215,0.4072,0.4242
216,0.4076,0.4234
217,0.4085,0.4256
218,0.4084,0.4249
219,0.4086,0.425
220,0.4081,0.431
221,0.4087,0.4251
222,0.4078,0.4262
223,0.4092,0.4262
224,0.4099,0.4232
225,0.4093,0.4289
226,0.4108,0.4253
227,0.41,0.4299
228,0.4111,0.4198
229,0.4102,0.427
230,0.4113,0.4267
231,0.412,0.4306
232,0.4119,0.4276
233,0.4114,0.4293
234,0.4122,0.4306
235,0.4132,0.4295
236,0.4118,0.432
237,0.4134,0.4264
238,0.4135,0.4348
239,0.4139,0.4264
240,0.4128,0.4285
241,0.4144,0.4319
242,0.4148,0.4288
243,0.4141,0.4298
244,0.4141,0.4292
245,0.4144,0.4314
246,0.4154,0.4266
247,0.415,0.425
248,0.4155,0.4255
249,0.4155,0.4286
250,0.4174,0.4269
251,0.4159,0.4316
252,0.4164,0.4284
253,0.4153,0.4286
254,0.4164,0.4336
255,0.4168,0.431
256,0.417,0.4282
257,0.4163,0.4296
258,0.418,0.4274
259,0.418,0.4272
260,0.4182,0.436
261,0.4186,0.4332
262,0.4178,0.4318
263,0.4185,0.4331
264,0.4199,0.4324
265,0.4201,0.4326
266,0.4198,0.4318
267,0.42,0.4346
268,0.42,0.4286
269,0.42,0.4272
270,0.42,0.4308
271,0.4219,0.4291
272,0.4212,0.435
273,0.4216,0.433
274,0.4209,0.4311
275,0.4222,0.4285
276,0.4219,0.43
277,0.4222,0.43
278,0.4226,0.4302
279,0.4224,0.4292
280,0.4223,0.431
281,0.4232,0.4286
282,0.4234,0.4309
283,0.4244,0.429
284,0.424,0.4278
285,0.4239,0.4284
286,0.4256,0.4331
287,0.4244,0.4287
288,0.4246,0.4306
289,0.4254,0.4246
290,0.4262,0.4286
291,0.4248,0.4305
292,0.4262,0.4312
293,0.4264,0.4318
294,0.426,0.4255
295,0.4252,0.4313
296,0.4268,0.431
297,0.4264,0.4319
298,0.4274,0.4266
299,0.4264,0.4284
300,0.4276,0.4278
301,0.4288,0.4268
302,0.428,0.4282
303,0.4274,0.4304
304,0.4284,0.4284
305,0.4292,0.4277
306,0.4293,0.4246
307,0.4279,0.4316
308,0.4298,0.4294
309,0.429,0.4318
310,0.4292,0.4345
311,0.43,0.4302
312,0.4304,0.4312
313,0.4298,0.4287
314,0.4303,0.4297
315,0.4299,0.4261
316,0.4312,0.4288
317,0.4309,0.425
318,0.4316,0.4295
319,0.4318,0.4301
320,0.4319,0.4242
321,0.4326,0.4269
322,0.4324,0.4278
323,0.4336,0.4284
324,0.4332,0.4278
325,0.4332,0.4237
326,0.434,0.4279
327,0.4334,0.4301
328,0.433,0.4275
329,0.4336,0.431
330,0.4347,0.4278
331,0.4339,0.4304
332,0.4344,0.4309
333,0.4352,0.4274
334,0.4345,0.4286
335,0.4357,0.4293
336,0.4368,0.4273
337,0.4366,0.4242
338,0.4361,0.4308
339,0.437,0.4272
340,0.4367,0.4284
341,0.4376,0.4311
342,0.4377,0.4321
343,0.4384,0.4246
344,0.4378,0.4276
345,0.4386,0.4293
346,0.4384,0.4271
347,0.4387,0.4294
348,0.438,0.4323
349,0.4381,0.4226
350,0.4384,0.4316
351,0.4392,0.4291
352,0.4403,0.4284
353,0.4406,0.4285
354,0.4396,0.4294
355,0.4406,0.4296
356,0.4414,0.4274
357,0.4403,0.4305
358,0.4403,0.4298
359,0.4404,0.4299
360,0.4423,0.4229
361,0.4412,0.4238
362,0.4426,0.4274
363,0.442,0.4234
364,0.4428,0.4302
365,0.4418,0.4306
366,0.4434,0.4306
367,0.4413,0.4291
368,0.444,0.4292
369,0.4433,0.4292
370,0.4444,0.4319
371,0.4442,0.4258
372,0.4446,0.4304
373,0.4436,0.4332
374,0.4448,0.4302
375,0.4454,0.4296
376,0.4466,0.428
377,0.446,0.4257
378,0.4465,0.4315
379,0.4462,0.4341
380,0.4458,0.428
381,0.4466,0.4312
382,0.4466,0.4338
383,0.4452,0.4261
384,0.447,0.4292
385,0.4487,0.4296
386,0.4458,0.4288
387,0.4482,0.4306
388,0.449,0.4268
389,0.449,0.429
390,0.4489,0.4274
391,0.4487,0.429
392,0.4508,0.4266
393,0.4486,0.4254
394,0.4506,0.4308
395,0.451,0.4299
396,0.4494,0.4302
397,0.4506,0.4279
398,0.4516,0.4291
399,0.4514,0.4358
400,0.4519,0.427
401,0.453,0.4288
402,0.4512,0.4321
403,0.4516,0.4282
404,0.4524,0.4248
405,0.4518,0.4305
406,0.4518,0.4258
407,0.453,0.4288
408,0.454,0.4266
409,0.4512,0.4299
410,0.4526,0.4282
411,0.4534,0.425
412,0.4536,0.4205
413,0.4532,0.4266
414,0.4555,0.4284
415,0.4562,0.4259
416,0.4544,0.431
417,0.4561,0.4292
418,0.456,0.4265
419,0.456,0.4262
420,0.455,0.4303
421,0.456,0.4286
422,0.4568,0.4258
423,0.4566,0.4297
424,0.4562,0.4258
425,0.4568,0.4217
426,0.4567,0.4222
427,0.4568,0.4282
428,0.4568,0.4289
429,0.4572,0.4275
430,0.4576,0.4232
431,0.4582,0.4248
432,0.4588,0.425
433,0.4602,0.4264
434,0.4591,0.4258
435,0.459,0.4264
436,0.4594,0.4251
437,0.4586,0.4214
438,0.4589,0.4204
439,0.4592,0.4258
440,0.4597,0.4238
441,0.461,0.4255
442,0.4593,0.4217
443,0.4595,0.4258
444,0.46,0.4239
445,0.4602,0.4298
446,0.46,0.4204
447,0.4615,0.4209
448,0.462,0.4286
449,0.4611,0.4183
450,0.4629,0.4284
451,0.462,0.4236
452,0.4632,0.4192
453,0.4625,0.4156
454,0.462,0.4226
455,0.4622,0.4212
456,0.4619,0.4242
457,0.4632,0.4192
458,0.4624,0.4202
459,0.4643,0.4176
460,0.464,0.4175
461,0.4646,0.419
462,0.4636,0.4218
463,0.4644,0.4191
464,0.4642,0.4186
465,0.4652,0.4256
466,0.464,0.4148
467,0.4653,0.4199
468,0.4642,0.4232
469,0.4638,0.4199
470,0.466,0.4158
471,0.464,0.4166
472,0.4654,0.42
473,0.4672,0.422
474,0.4656,0.4212
475,0.4671,0.4247
476,0.4663,0.4212
477,0.4671,0.422
478,0.466,0.4194
479,0.467,0.4178
480,0.4678,0.4208
481,0.4689,0.4154
482,0.4684,0.4232
483,0.468,0.414
484,0.4676,0.4176
485,0.4684,0.4244
486,0.4704,0.42
487,0.4685,0.4182
488,0.4686,0.4246
489,0.4695,0.419
490,0.4688,0.418
491,0.4698,0.4166
492,0.4696,0.414
493,0.47,0.4141
494,0.4696,0.4202
495,0.4696,0.4212
496,0.469,0.4186
497,0.4708,0.419
498,0.4694,0.4168
499,0.471,0.4196
500,0.4708,0.4188
