epoch,train loss,test loss
1,7.3581,7.3334
2,7.3211,7.2838
3,7.2349,7.0955
4,7.0471,6.9128
5,6.9619,6.8496
6,6.9183,6.811
7,6.8831,6.7857
8,6.8523,6.7633
9,6.8173,6.7458
10,6.7959,6.7363
11,6.7725,6.7152
12,6.7515,6.7037
13,6.73,6.6862
14,6.71,6.6707
15,6.6868,6.662
16,6.6647,6.6382
17,6.6362,6.618
18,6.6121,6.6008
19,6.5881,6.5713
20,6.5618,6.5452
21,6.5407,6.5194
22,6.5165,6.4965
23,6.4951,6.4697
24,6.4736,6.4536
25,6.4527,6.4299
26,6.4299,6.4072
27,6.4058,6.3827
28,6.3856,6.3689
29,6.362,6.3457
30,6.3396,6.3228
31,6.3147,6.3056
32,6.2918,6.2795
33,6.2688,6.2683
34,6.2413,6.2336
35,6.2175,6.2122
36,6.1915,6.1851
37,6.1666,6.1545
38,6.1422,6.1302
39,6.1152,6.1048
40,6.0924,6.0844
41,6.0699,6.0534
42,6.0454,6.029
43,6.0246,6.004
44,6.0009,5.9876
45,5.9756,5.966
46,5.9531,5.9393
47,5.9254,5.9049
48,5.9016,5.8895
49,5.8779,5.8629
50,5.8546,5.8359
51,5.8293,5.8179
52,5.8039,5.7774
53,5.7773,5.7707
54,5.756,5.7346
55,5.7277,5.7153
56,5.7035,5.6854
57,5.6844,5.6719
58,5.658,5.6567
59,5.6431,5.6436
60,5.6205,5.6182
61,5.6007,5.6021
62,5.5842,5.5837
63,5.565,5.5644
64,5.5468,5.5567
65,5.5274,5.5351
66,5.5145,5.5186
67,5.4964,5.5034
68,5.4822,5.4993
69,5.4697,5.4902
70,5.4502,5.471
71,5.436,5.4522
72,5.4235,5.4422
73,5.4118,5.4296
74,5.3974,5.4139
75,5.382,5.4065
76,5.3695,5.3909
77,5.358,5.3819
78,5.3406,5.3676
79,5.3307,5.3526
80,5.3166,5.344
81,5.3057,5.3341
82,5.2921,5.3309
83,5.2815,5.3197
84,5.2686,5.3115
85,5.2617,5.3053
86,5.2545,5.2824
87,5.2364,5.277
88,5.2242,5.261
89,5.2189,5.2512
90,5.2063,5.2624
91,5.1958,5.2494
92,5.1956,5.231
93,5.1773,5.2232
94,5.1661,5.2165
95,5.1597,5.2154
96,5.1473,5.2078
97,5.1368,5.2043
98,5.1296,5.1922
99,5.1242,5.2012
100,5.1131,5.1782
101,5.1016,5.1748
102,5.0965,5.171
103,5.0884,5.1667
104,5.0806,5.1561
105,5.0704,5.1499
106,5.0634,5.1463
107,5.0549,5.1284
108,5.0481,5.135
109,5.0421,5.1168
