epoch,train loss,test loss
1,7.3604,7.3278
2,7.3143,7.2466
3,7.2396,7.1247
4,7.1366,6.9782
5,7.0338,6.8654
6,6.9345,6.763
7,6.8562,6.6985
8,6.7941,6.658
9,6.7292,6.6153
10,6.6851,6.5927
11,6.6386,6.5547
12,6.5951,6.5109
13,6.5526,6.4776
14,6.5045,6.4096
15,6.4505,6.358
16,6.3959,6.2926
17,6.3477,6.2441
18,6.303,6.2003
19,6.2431,6.1412
20,6.194,6.0872
21,6.1461,6.0441
22,6.0992,5.9946
23,6.0528,5.9639
24,6.0128,5.9077
25,5.962,5.861
26,5.9221,5.8382
27,5.8693,5.7903
28,5.8332,5.7663
29,5.7902,5.7088
30,5.7482,5.6953
31,5.7128,5.6259
32,5.6797,5.5983
33,5.6451,5.5779
34,5.595,5.5408
35,5.5822,5.4988
36,5.5396,5.4783
37,5.4985,5.4266
38,5.4543,5.4043
39,5.4315,5.3917
40,5.4011,5.3742
41,5.3904,5.3083
42,5.3432,5.3182
43,5.3167,5.2695
44,5.2859,5.2312
45,5.2557,5.2239
46,5.2316,5.1907
47,5.1946,5.1207
48,5.1731,5.1355
49,5.143,5.1012
50,5.1171,5.0596
51,5.0957,5.0498
52,5.0657,4.9868
53,5.0459,5.0135
54,5.0094,4.9989
55,4.982,4.9615
56,4.9445,4.9452
57,4.9329,4.91
58,4.9027,4.8631
59,4.8767,4.8517
60,4.8479,4.8747
61,4.8126,4.8136
62,4.7943,4.7945
63,4.7662,4.7305
64,4.7534,4.748
65,4.722,4.7263
66,4.7105,4.7564
67,4.6655,4.7038
68,4.6481,4.6733
69,4.6267,4.6698
70,4.5944,4.6442
71,4.5695,4.6545
72,4.5587,4.567
73,4.5185,4.5847
74,4.502,4.5712
75,4.4844,4.6093
76,4.4517,4.5348
77,4.4196,4.5107
78,4.4073,4.4934
79,4.3905,4.4784
80,4.3594,4.4544
81,4.336,4.4378
82,4.3256,4.4668
83,4.3262,4.4226
84,4.2813,4.4364
85,4.2628,4.3995
86,4.229,4.3567
87,4.2092,4.3678
88,4.1955,4.3059
89,4.173,4.3449
90,4.1571,4.3222
91,4.144,4.3156
92,4.1121,4.3616
93,4.0849,4.2885
94,4.0884,4.3518
95,4.0633,4.3035
96,4.0324,4.3292
97,4.0326,4.2709
98,4.0151,4.2469
99,3.9913,4.2401
100,3.967,4.2946
101,3.9642,4.2151
102,3.9441,4.2706
