epoch,train acc,val acc
1,0.1164,0.1652
2,0.1945,0.3715
3,0.3246,0.3852
4,0.3247,0.3787
5,0.326,0.381
6,0.3332,0.3922
7,0.3392,0.3948
8,0.3404,0.395
9,0.34,0.3896
10,0.3345,0.3728
11,0.3203,0.3616
12,0.3118,0.3562
13,0.3049,0.3522
14,0.2987,0.3432
15,0.2865,0.3324
16,0.2736,0.319
17,0.2688,0.3106
18,0.2656,0.3232
19,0.2683,0.3146
20,0.2644,0.3204
21,0.2644,0.3216
22,0.2652,0.3236
23,0.2662,0.3212
24,0.2684,0.3256
25,0.2687,0.327
26,0.2684,0.3328
27,0.2708,0.3366
28,0.2742,0.3382
29,0.2759,0.3425
30,0.2784,0.3419
31,0.2825,0.3431
32,0.2882,0.3449
33,0.2865,0.3496
34,0.2886,0.3536
35,0.2915,0.3547
36,0.2935,0.3587
37,0.2963,0.3572
38,0.2998,0.358
39,0.3056,0.3558
40,0.3055,0.3607
41,0.3072,0.3636
42,0.3087,0.3644
43,0.3106,0.3638
44,0.3135,0.3648
45,0.3152,0.3696
46,0.3178,0.37
47,0.3192,0.3701
48,0.3226,0.3697
49,0.3248,0.376
50,0.3263,0.3773
51,0.3274,0.3811
52,0.3296,0.3834
53,0.3322,0.3877
54,0.3346,0.3882
55,0.3368,0.388
56,0.34,0.3938
57,0.3414,0.3942
58,0.3457,0.3958
59,0.346,0.3968
60,0.3484,0.3986
61,0.3498,0.3996
62,0.3522,0.4006
63,0.3552,0.4041
64,0.3556,0.401
65,0.3578,0.4052
66,0.3594,0.4077
67,0.3632,0.4075
68,0.3638,0.4125
69,0.3655,0.4122
70,0.3668,0.4094
71,0.3677,0.4116
72,0.3704,0.4105
73,0.3712,0.416
74,0.374,0.4136
75,0.3768,0.4134
76,0.3758,0.4122
77,0.3798,0.4136
78,0.3802,0.4148
79,0.3802,0.4205
80,0.3831,0.4174
81,0.3857,0.4166
82,0.3869,0.4186
83,0.3884,0.4184
84,0.3899,0.4196
85,0.3909,0.419
86,0.393,0.4177
87,0.393,0.4202
88,0.395,0.4216
89,0.3975,0.4242
90,0.3981,0.4217
91,0.4002,0.417
92,0.3978,0.421
93,0.3989,0.426
94,0.4018,0.4234
95,0.4036,0.4229
96,0.4049,0.4279
97,0.4065,0.425
98,0.4082,0.4239
99,0.4092,0.4254
100,0.41,0.4222
101,0.4114,0.4238
102,0.4127,0.4241
103,0.414,0.424
104,0.4147,0.4246
105,0.416,0.4242
106,0.417,0.4281
107,0.4191,0.4273
108,0.4202,0.4273
109,0.42,0.4264
110,0.4216,0.4245
111,0.423,0.4316
112,0.4226,0.4282
113,0.4268,0.4296
114,0.4273,0.4299
115,0.4274,0.429
116,0.4278,0.4302
117,0.4283,0.4296
118,0.4292,0.4307
119,0.4318,0.4309
120,0.4323,0.4302
121,0.4326,0.4322
122,0.4331,0.4302
123,0.4352,0.4348
124,0.4352,0.4338
125,0.4367,0.4344
126,0.4374,0.4338
127,0.4369,0.4341
128,0.4389,0.4374
129,0.439,0.4338
130,0.4408,0.4392
131,0.4406,0.4392
132,0.442,0.434
133,0.4427,0.4366
134,0.4442,0.4373
135,0.4448,0.4384
136,0.445,0.4348
