epoch,train loss,test loss
1,7.3637,7.3423
2,7.3365,7.2864
3,7.2716,7.1773
4,7.1759,7.0342
5,7.0851,6.9214
6,6.9917,6.8067
7,6.9125,6.7439
8,6.8656,6.7231
9,6.8194,6.7006
10,6.7781,6.6966
11,6.7456,6.6833
12,6.7192,6.6702
13,6.6976,6.6502
14,6.6711,6.6435
15,6.6476,6.6184
16,6.6164,6.5888
17,6.5841,6.5509
18,6.5373,6.4882
19,6.477,6.4142
20,6.4201,6.3583
21,6.3681,6.2943
22,6.3151,6.2387
23,6.2664,6.2055
24,6.2256,6.158
25,6.1792,6.1205
26,6.1327,6.0803
27,6.0864,6.0365
28,6.0463,6.0104
29,6.0053,5.979
30,5.9672,5.9551
31,5.9301,5.9
32,5.9004,5.8882
33,5.8587,5.8576
34,5.8212,5.833
35,5.7888,5.8106
36,5.7609,5.8137
37,5.7293,5.7629
38,5.7002,5.7554
39,5.6775,5.7328
40,5.6419,5.7091
41,5.6145,5.6766
42,5.5833,5.6592
43,5.56,5.6394
44,5.5313,5.6212
45,5.5126,5.6079
46,5.4817,5.5893
47,5.4533,5.569
48,5.43,5.5465
49,5.4207,5.5436
50,5.3881,5.5107
51,5.3637,5.4989
52,5.3447,5.4923
53,5.3234,5.4828
54,5.3024,5.4595
55,5.2797,5.4725
56,5.259,5.4372
57,5.2347,5.4434
58,5.2158,5.4312
59,5.2004,5.4072
60,5.1831,5.3974
61,5.1591,5.3944
62,5.1444,5.386
63,5.1226,5.3688
64,5.1009,5.3708
65,5.0864,5.3804
66,5.0694,5.3474
67,5.0497,5.3276
68,5.0342,5.3369
69,5.0155,5.3013
70,4.9954,5.3198
71,4.9888,5.2889
72,4.9652,5.2843
73,4.9477,5.27
74,4.9416,5.2643
75,4.9163,5.2683
76,4.8993,5.2643
77,4.8843,5.2446
78,4.8691,5.2579
79,4.8702,5.2286
80,4.8474,5.2374
81,4.8244,5.2163
82,4.8098,5.2235
83,4.801,5.2035
84,4.7869,5.2253
85,4.771,5.1975
86,4.7535,5.202
87,4.7459,5.2153
88,4.7257,5.1708
89,4.7086,5.2076
90,4.6945,5.2154
91,4.6815,5.1557
92,4.6908,5.1687
93,4.673,5.1637
94,4.6478,5.156
95,4.6337,5.1382
96,4.6144,5.1505
97,4.6059,5.1641
98,4.5926,5.1475
99,4.58,5.1377
100,4.5658,5.1214
101,4.5507,5.1149
102,4.5407,5.1334
103,4.5321,5.1244
104,4.5135,5.1758
105,4.4993,5.1364
106,4.49,5.1338
107,4.4778,5.1365
108,4.4629,5.1286
109,4.4509,5.1424
110,4.432,5.1175
111,4.4184,5.1141
112,4.4175,5.1425
113,4.397,5.1535
114,4.3775,5.1742
115,4.373,5.1402
116,4.3535,5.1223
117,4.3483,5.1636
118,4.3376,5.1395
119,4.3178,5.1281
120,4.3027,5.1516
