epoch,train acc,val acc
1,0.1218,0.2204
2,0.2606,0.3821
3,0.3261,0.3828
4,0.3269,0.381
5,0.3292,0.3856
6,0.3358,0.3935
7,0.3398,0.3932
8,0.3225,0.3374
9,0.2984,0.3768
10,0.3222,0.3528
11,0.3106,0.3524
12,0.301,0.3441
13,0.2897,0.3339
14,0.2766,0.3182
15,0.2687,0.3243
16,0.2716,0.3156
17,0.2644,0.3142
18,0.2626,0.318
19,0.2663,0.3212
20,0.2671,0.3244
21,0.2673,0.3245
22,0.2684,0.3237
23,0.2699,0.3263
24,0.2706,0.3292
25,0.271,0.3298
26,0.2728,0.3319
27,0.2764,0.3344
28,0.277,0.3384
29,0.28,0.343
30,0.2826,0.3412
31,0.2882,0.3465
32,0.2916,0.35
33,0.2923,0.3505
34,0.2981,0.3554
35,0.3004,0.3584
36,0.3022,0.3619
37,0.3042,0.3624
38,0.3074,0.3692
39,0.3117,0.3666
40,0.3099,0.373
41,0.312,0.37
42,0.3138,0.3703
43,0.314,0.3689
44,0.3184,0.3743
45,0.3189,0.376
46,0.3236,0.3707
47,0.3236,0.3759
48,0.3255,0.372
49,0.3274,0.3768
50,0.3299,0.378
51,0.3312,0.3815
52,0.3351,0.3816
53,0.3363,0.3831
54,0.3392,0.3813
55,0.3412,0.3845
56,0.3423,0.3864
57,0.3446,0.3893
58,0.3476,0.3941
59,0.348,0.389
60,0.35,0.3904
61,0.3533,0.393
62,0.3542,0.3908
63,0.3575,0.3962
64,0.3604,0.3972
65,0.3594,0.4022
66,0.3615,0.4018
67,0.3656,0.3984
68,0.3647,0.397
69,0.3678,0.4032
70,0.37,0.4052
71,0.3731,0.403
72,0.3747,0.4107
73,0.3782,0.41
74,0.382,0.4084
75,0.3836,0.4101
76,0.3862,0.41
77,0.3888,0.4158
78,0.391,0.4232
79,0.392,0.4226
80,0.397,0.4229
81,0.3974,0.4236
82,0.3992,0.4191
83,0.4008,0.4286
84,0.4037,0.4307
85,0.4062,0.4314
86,0.4091,0.4261
87,0.4094,0.4344
88,0.4122,0.437
89,0.4138,0.4418
90,0.4164,0.4368
91,0.4158,0.4424
92,0.4212,0.4466
93,0.4208,0.4482
94,0.422,0.4494
95,0.4192,0.4484
96,0.4262,0.4541
97,0.4286,0.4526
98,0.4274,0.4513
99,0.4288,0.4593
100,0.4324,0.456
101,0.4338,0.4588
102,0.4343,0.4583
103,0.4379,0.4562
104,0.437,0.4632
105,0.4386,0.4676
106,0.4409,0.4687
107,0.4424,0.4744
108,0.4404,0.4582
109,0.4452,0.4711
110,0.444,0.469
111,0.4473,0.4701
112,0.4473,0.4712
113,0.4504,0.4737
114,0.4514,0.4772
115,0.4534,0.4758
116,0.4532,0.4763
117,0.453,0.48
118,0.4506,0.479
119,0.4555,0.4792
120,0.4554,0.486
121,0.4568,0.4868
122,0.459,0.4839
123,0.4606,0.4792
124,0.4592,0.492
125,0.4592,0.4886
126,0.4616,0.4842
127,0.4588,0.4902
128,0.4627,0.4855
129,0.4652,0.4814
130,0.4646,0.488
131,0.4661,0.4911
132,0.4662,0.49
133,0.4722,0.4874
134,0.4674,0.4904
135,0.4702,0.4892
136,0.4715,0.4956
137,0.4696,0.491
138,0.4728,0.4956
139,0.4722,0.49
140,0.4736,0.4964
141,0.4777,0.4951
142,0.4758,0.4998
143,0.4748,0.4902
144,0.4769,0.5002
145,0.4777,0.4955
146,0.4821,0.497
147,0.4782,0.5075
148,0.4786,0.4992
149,0.4798,0.4987
150,0.4801,0.4988
151,0.4812,0.4966
152,0.4771,0.5006
153,0.4797,0.4998
154,0.4837,0.5074
155,0.4854,0.502
156,0.4858,0.5008
157,0.4817,0.5048
158,0.4851,0.4976
159,0.4848,0.5002
160,0.4864,0.5039
161,0.4885,0.4995
162,0.4864,0.5011
163,0.489,0.5015
164,0.491,0.4996
165,0.4878,0.5038
166,0.4889,0.5098
167,0.4922,0.511
168,0.493,0.512
169,0.495,0.5136
170,0.4908,0.5102
171,0.4928,0.5073
172,0.4945,0.512
173,0.4962,0.5132
174,0.498,0.5176
175,0.4961,0.5143
176,0.5002,0.506
177,0.4991,0.5122
178,0.499,0.5188
179,0.5036,0.5098
180,0.5001,0.5137
181,0.499,0.5216
182,0.5025,0.5175
183,0.5007,0.5179
184,0.5017,0.5154
185,0.5046,0.5221
186,0.5037,0.5134
187,0.5022,0.5172
188,0.5048,0.5127
189,0.5048,0.5127
190,0.5088,0.5135
191,0.5039,0.5134
192,0.5092,0.524
193,0.509,0.5194
194,0.5066,0.5202
195,0.507,0.5118
196,0.509,0.5194
197,0.5108,0.5112
198,0.5086,0.5165
199,0.515,0.5196
200,0.5124,0.5248
201,0.514,0.5273
202,0.5132,0.5201
203,0.5097,0.5186
204,0.5151,0.5252
205,0.5106,0.5178
206,0.5137,0.5166
207,0.5142,0.5191
208,0.5158,0.5121
209,0.5124,0.515
210,0.5156,0.5133
