epoch,train loss,test loss
1,7.362,7.334
2,7.3219,7.2568
3,7.2507,7.1436
4,7.1562,7.0109
5,7.0571,6.8939
6,6.9574,6.7908
7,6.8818,6.7342
8,6.8278,6.6989
9,6.7719,6.6657
10,6.7313,6.6417
11,6.6891,6.6199
12,6.6528,6.588
13,6.6208,6.5556
14,6.5718,6.4985
15,6.5125,6.4448
16,6.4555,6.3724
17,6.4022,6.3102
18,6.3538,6.2645
19,6.2958,6.2075
20,6.2431,6.1589
21,6.1935,6.1026
22,6.1429,6.0523
23,6.0959,6.0164
24,6.0526,5.9726
25,6.009,5.9448
26,5.9692,5.8936
27,5.92,5.8578
28,5.888,5.8449
29,5.8463,5.8105
30,5.8107,5.7912
31,5.7873,5.7306
32,5.7476,5.7115
33,5.7167,5.6865
34,5.6833,5.671
35,5.6523,5.635
36,5.6254,5.612
37,5.598,5.5848
38,5.5577,5.5706
39,5.5408,5.5473
40,5.5107,5.5195
41,5.4939,5.4864
42,5.4547,5.4755
43,5.4323,5.4474
44,5.4086,5.4282
45,5.3838,5.4186
46,5.3615,5.397
47,5.3347,5.3596
48,5.3016,5.3602
49,5.293,5.3456
50,5.2635,5.2961
51,5.2382,5.29
52,5.2176,5.2498
53,5.1902,5.265
54,5.1752,5.2577
55,5.1506,5.2407
56,5.1239,5.2412
57,5.0982,5.2101
58,5.075,5.1798
59,5.0576,5.1608
60,5.035,5.1731
61,5.0041,5.1401
62,4.9862,5.1398
63,4.9854,5.1133
64,4.9432,5.1242
65,4.9303,5.1181
66,4.9193,5.0789
67,4.8844,5.0732
68,4.8712,5.0899
69,4.8525,5.0329
70,4.8246,5.057
71,4.8067,5.0221
72,4.7955,4.9767
73,4.7663,4.9792
74,4.7829,4.9999
75,4.7485,5.0284
76,4.7214,4.9632
77,4.7022,4.9574
78,4.6883,4.9271
79,4.6748,4.9454
80,4.6433,4.8965
81,4.6241,4.902
82,4.6129,4.9107
83,4.6021,4.8944
84,4.5835,4.882
85,4.5639,4.877
86,4.5318,4.8663
87,4.5247,4.8459
88,4.5032,4.8
89,4.4848,4.8175
90,4.4706,4.8117
91,4.455,4.8152
92,4.4284,4.8178
93,4.4172,4.8136
94,4.4057,4.8318
95,4.4007,4.8009
96,4.3644,4.7941
97,4.3514,4.7596
98,4.3435,4.7546
99,4.3287,4.7525
100,4.3015,4.7405
101,4.289,4.7167
102,4.2902,4.7766
103,4.26,4.7246
104,4.2535,4.686
105,4.2274,4.6522
106,4.2226,4.6721
107,4.2105,4.6099
108,4.1871,4.7479
109,4.1599,4.6486
110,4.1702,4.6665
111,4.1559,4.6165
112,4.1319,4.6649
113,4.1027,4.6555
114,4.0929,4.6224
115,4.1088,4.649
116,4.0665,4.6316
117,4.0635,4.6149
118,4.0575,4.6286
119,4.0326,4.6489
120,4.0225,4.5346
121,4.0071,4.5944
122,3.9957,4.5718
123,3.9874,4.5834
124,3.976,4.5585
125,3.9786,4.5423
126,3.9478,4.6005
127,3.9468,4.5833
128,3.9119,4.5267
129,3.9028,4.6188
130,3.8887,4.5844
131,3.8845,4.5731
132,3.8806,4.4584
133,3.859,4.5875
134,3.8445,4.5053
135,3.8485,4.5023
136,3.8388,4.5712
137,3.8294,4.584
138,3.8191,4.5654
139,3.7975,4.5268
140,3.7894,4.5152
141,3.7745,4.4838
142,3.7979,4.517
143,3.7678,4.5828
144,3.7546,4.4502
145,3.7421,4.5448
146,3.7188,4.5599
147,3.7308,4.4661
148,3.7092,4.5065
149,3.7041,4.5266
150,3.7062,4.5327
151,3.6762,4.5329
152,3.6765,4.545
153,3.6592,4.6039
154,3.6434,4.4843
155,3.6345,4.5254
156,3.6342,4.5811
157,3.6398,4.5201
158,3.6183,4.5192
159,3.6104,4.5483
160,3.6023,4.5776
161,3.5877,4.5878
162,3.5949,4.5355
163,3.5695,4.5982
164,3.5645,4.5697
165,3.5639,4.5676
166,3.5452,4.4635
167,3.5407,4.4884
168,3.5393,4.5149
169,3.5015,4.4917
170,3.5466,4.5287
171,3.5098,4.4958
172,3.5032,4.5368
173,3.4849,4.504
174,3.4616,4.5203
175,3.4585,4.5113
176,3.4766,4.5955
177,3.4428,4.4683
178,3.4493,4.5337
179,3.4212,4.5696
180,3.432,4.5409
181,3.4159,4.6022
182,3.4065,4.4911
183,3.4169,4.4695
184,3.3967,4.5849
185,3.3743,4.529
186,3.3806,4.6351
187,3.379,4.5107
188,3.3528,4.5819
189,3.3519,4.6361
190,3.3556,4.6755
191,3.3551,4.6345
192,3.3356,4.6126
193,3.3208,4.5922
194,3.324,4.5447
195,3.325,4.6931
196,3.3113,4.5923
197,3.2984,4.6992
198,3.3011,4.6616
199,3.2763,4.667
200,3.2631,4.6439
201,3.2684,4.6709
202,3.2527,4.6591
203,3.2724,4.6644
204,3.2366,4.6704
205,3.2585,4.6868
206,3.2422,4.7358
207,3.2197,4.6999
208,3.2385,4.7404
209,3.2321,4.768
210,3.214,4.7778
211,3.2081,4.7697
212,3.18,4.7183
213,3.2037,4.7415
214,3.2079,4.7951
215,3.1615,4.844
216,3.1806,4.7354
217,3.1642,4.756
218,3.1565,4.8512
219,3.1463,4.8086
220,3.1636,4.7909
221,3.1224,4.7882
222,3.1273,4.8123
223,3.1176,4.7542
224,3.1072,4.8346
225,3.0997,4.9312
226,3.1207,4.7557
227,3.0896,4.8549
228,3.1052,4.7667
229,3.0954,5.0579
230,3.0866,4.9561
231,3.079,4.9475
232,3.0897,4.8803
233,3.0728,4.8789
234,3.0741,4.8525
235,3.0525,4.9701
236,3.0628,4.8587
237,3.0578,4.8768
238,3.037,4.8565
239,3.0774,4.9771
240,3.0191,4.9931
241,3.0174,4.8861
242,3.0184,4.9828
243,3.0181,5.0221
244,3.0212,4.9833
245,2.994,5.0554
246,3.0005,4.7834
247,2.9929,4.983
248,2.9838,5.001
249,2.964,5.1502
250,2.9643,4.9705
251,2.9528,5.1055
252,2.9582,5.0518
