epoch,train acc,val acc
1,0.3022,0.3951
2,0.334,0.3948
3,0.3416,0.3956
4,0.3394,0.3952
5,0.3366,0.396
6,0.3362,0.3938
7,0.334,0.3925
8,0.3308,0.3914
9,0.3332,0.3892
10,0.3322,0.388
11,0.3279,0.3868
12,0.3282,0.3894
13,0.3279,0.3828
14,0.3266,0.381
15,0.3248,0.3823
16,0.3226,0.3782
17,0.3201,0.379
18,0.3162,0.3763
19,0.3174,0.37
20,0.3092,0.3692
21,0.3137,0.3694
22,0.3097,0.3713
23,0.3126,0.3643
24,0.3092,0.3562
25,0.3057,0.3598
26,0.303,0.3592
27,0.3011,0.3562
28,0.3021,0.3509
29,0.3019,0.3506
30,0.3002,0.3484
31,0.2994,0.3494
32,0.2938,0.3503
33,0.2957,0.3323
34,0.2925,0.3394
35,0.2897,0.3333
36,0.2856,0.3414
37,0.2869,0.3282
38,0.2826,0.3299
39,0.2811,0.3268
40,0.2788,0.3273
41,0.2758,0.3258
42,0.2756,0.3255
43,0.2753,0.3184
44,0.2713,0.3068
45,0.2679,0.315
46,0.2678,0.3202
47,0.2664,0.3113
48,0.2598,0.3028
49,0.2572,0.3114
50,0.2598,0.3072
51,0.257,0.2994
52,0.2544,0.299
53,0.2515,0.2934
54,0.255,0.2961
55,0.2514,0.2937
56,0.2538,0.2895
57,0.2534,0.289
58,0.252,0.3024
59,0.2561,0.2936
60,0.255,0.2956
61,0.2558,0.291
62,0.255,0.3054
63,0.2556,0.2978
64,0.2554,0.3076
65,0.2572,0.3043
66,0.257,0.3012
67,0.2563,0.3037
68,0.2599,0.296
69,0.257,0.3035
70,0.2608,0.3014
71,0.2587,0.3096
72,0.2606,0.2974
73,0.2589,0.3002
74,0.2623,0.2989
75,0.2604,0.3019
76,0.2597,0.2947
77,0.2588,0.3024
78,0.262,0.2951
79,0.2609,0.2921
80,0.2582,0.2871
81,0.26,0.2884
82,0.2596,0.2914
83,0.2583,0.2926
84,0.2592,0.2949
85,0.2618,0.288
86,0.2604,0.2948
87,0.2636,0.297
88,0.2639,0.2976
89,0.2644,0.2918
90,0.2636,0.2901
91,0.2649,0.2838
92,0.2646,0.2832
93,0.2666,0.2918
94,0.2673,0.2908
95,0.2706,0.2895
96,0.2706,0.2887
97,0.2702,0.2918
98,0.2689,0.2967
99,0.2742,0.298
100,0.2728,0.3043
101,0.2741,0.3018
102,0.276,0.2972
103,0.2756,0.3115
104,0.2796,0.2985
105,0.2815,0.2957
106,0.2806,0.3067
107,0.2818,0.3088
108,0.281,0.317
109,0.2841,0.3075
110,0.2848,0.3136
111,0.286,0.3122
112,0.2871,0.3114
113,0.2872,0.3147
114,0.2846,0.3196
115,0.2886,0.3252
116,0.2916,0.3194
117,0.2894,0.3219
118,0.2911,0.3192
119,0.291,0.324
120,0.2915,0.3286
121,0.2938,0.3236
122,0.2969,0.3172
123,0.2912,0.3324
124,0.2983,0.3289
125,0.2961,0.3224
126,0.2996,0.3318
127,0.2998,0.3234
128,0.2997,0.3416
129,0.303,0.3335
130,0.3016,0.3323
131,0.3036,0.3302
132,0.3041,0.3396
133,0.3048,0.339
134,0.3064,0.3469
135,0.3086,0.3435
136,0.3096,0.3451
137,0.3082,0.3541
138,0.3135,0.347
139,0.3134,0.3464
140,0.3138,0.3444
141,0.3144,0.3446
142,0.3161,0.3468
143,0.3161,0.3488
144,0.318,0.3505
145,0.3178,0.352
146,0.3194,0.351
147,0.3192,0.3516
148,0.323,0.3569
149,0.3239,0.3502
150,0.3244,0.3539
151,0.3262,0.356
152,0.3245,0.3516
153,0.325,0.3584
154,0.3266,0.3636
155,0.33,0.357
156,0.3292,0.3542
157,0.3304,0.36
158,0.3335,0.356
159,0.3316,0.3566
160,0.332,0.3666
161,0.3347,0.3576
162,0.3333,0.3624
163,0.3345,0.3731
164,0.3372,0.3664
165,0.3399,0.3682
166,0.3396,0.3709
167,0.3388,0.3757
168,0.3404,0.3742
169,0.3417,0.375
170,0.342,0.3733
171,0.3427,0.3704
172,0.343,0.377
173,0.3453,0.3775
174,0.3444,0.3767
175,0.3456,0.3834
176,0.3456,0.378
177,0.3485,0.3823
178,0.3476,0.3788
179,0.349,0.3803
180,0.3488,0.3861
181,0.3532,0.3846
182,0.3518,0.383
