epoch,train loss,test loss
1,7.3519,7.3331
2,7.2864,7.2336
3,7.147,6.9885
4,6.9284,6.7588
5,6.7944,6.6863
6,6.7297,6.6701
7,6.6945,6.6856
8,6.6683,6.6836
9,6.6549,6.6812
10,6.6446,6.6776
11,6.6327,6.6853
12,6.6226,6.6841
13,6.6098,6.6806
14,6.6046,6.6698
15,6.5936,6.6562
16,6.5879,6.6657
17,6.5755,6.6592
18,6.5655,6.6387
19,6.5548,6.6477
20,6.5452,6.6245
21,6.5301,6.6417
22,6.5274,6.6177
23,6.5165,6.613
24,6.5016,6.6054
25,6.494,6.5797
26,6.4773,6.5801
27,6.4651,6.5806
28,6.4578,6.5666
29,6.4536,6.5621
30,6.4396,6.55
31,6.4301,6.5438
32,6.4138,6.5355
33,6.4178,6.5345
34,6.3977,6.5373
35,6.3887,6.525
36,6.3846,6.5351
37,6.3693,6.52
38,6.355,6.5027
39,6.3479,6.5226
40,6.3413,6.499
41,6.3252,6.4891
42,6.3155,6.5125
43,6.2983,6.4745
44,6.2947,6.4818
45,6.2719,6.4774
46,6.2626,6.4318
47,6.2351,6.4132
48,6.2172,6.4243
49,6.1946,6.4002
50,6.1838,6.3852
51,6.158,6.3798
52,6.1396,6.3951
53,6.1241,6.3567
54,6.0886,6.3846
55,6.0902,6.3364
56,6.0638,6.367
57,6.026,6.3216
58,6.0101,6.2795
59,5.9866,6.294
60,5.9602,6.3025
61,5.9451,6.2861
62,5.9182,6.2593
63,5.9057,6.2476
64,5.8854,6.2599
65,5.8719,6.2433
66,5.8554,6.2847
67,5.8358,6.2354
68,5.8138,6.2341
69,5.7927,6.2334
70,5.7652,6.1799
71,5.7504,6.196
72,5.7355,6.125
73,5.7098,6.1488
74,5.6892,6.1123
75,5.671,6.1436
76,5.6555,6.081
77,5.6368,6.0526
78,5.6164,6.0527
79,5.5887,6.0658
80,5.5745,6.0472
81,5.5564,6.0317
82,5.5444,5.9922
83,5.5265,5.9716
84,5.5029,6.005
85,5.4844,5.9616
86,5.4661,5.9149
87,5.4473,5.9208
88,5.4317,5.8889
89,5.4154,5.8928
90,5.3994,5.8848
91,5.3897,5.8948
92,5.3658,5.8735
93,5.3457,5.8364
94,5.3381,5.8581
95,5.3196,5.8415
96,5.2948,5.8542
97,5.2883,5.8012
98,5.2805,5.7988
99,5.2712,5.7751
100,5.2458,5.7574
101,5.2422,5.7412
102,5.2278,5.754
103,5.2077,5.7271
104,5.1988,5.7307
105,5.176,5.7389
106,5.1648,5.7053
107,5.1584,5.6974
108,5.1449,5.731
109,5.1238,5.6793
110,5.1251,5.7311
111,5.1029,5.6959
112,5.1001,5.6786
113,5.0783,5.7018
114,5.0651,5.6603
115,5.0551,5.6634
116,5.032,5.668
117,5.0305,5.6559
118,5.0154,5.6435
119,4.9967,5.6293
120,4.9957,5.6159
121,4.9792,5.6281
122,4.9609,5.6629
123,4.9651,5.6089
124,4.9425,5.6015
125,4.9354,5.6252
126,4.9176,5.6922
127,4.9079,5.6399
128,4.8975,5.5809
129,4.8825,5.5977
130,4.8733,5.6076
131,4.8484,5.6136
132,4.8422,5.5667
133,4.8365,5.5938
134,4.8205,5.6043
135,4.8121,5.6162
136,4.8067,5.5731
137,4.7887,5.5805
138,4.7826,5.5852
139,4.7651,5.5663
140,4.7491,5.5686
141,4.7444,5.5646
142,4.728,5.5614
143,4.7226,5.5753
144,4.7182,5.5347
145,4.7015,5.5531
146,4.6881,5.6036
147,4.6817,5.5386
148,4.6635,5.5491
149,4.6693,5.5669
150,4.6435,5.5761
151,4.6381,5.5425
152,4.6257,5.589
153,4.6166,5.5795
154,4.619,5.5281
155,4.6016,5.5746
156,4.5975,5.5728
157,4.5803,5.5414
158,4.5769,5.5915
159,4.5649,5.5566
160,4.5601,5.5537
161,4.5565,5.5727
162,4.5462,5.5391
163,4.5348,5.5614
164,4.5184,5.5438
165,4.5059,5.5161
166,4.498,5.5278
167,4.4998,5.5233
168,4.4904,5.5263
169,4.4771,5.5343
170,4.4758,5.5595
171,4.4658,5.5417
172,4.4528,5.53
173,4.4515,5.5053
174,4.4297,5.5655
175,4.4293,5.503
176,4.4268,5.5499
177,4.4108,5.5076
178,4.4096,5.5085
179,4.3939,5.5626
180,4.397,5.5135
181,4.3799,5.5468
182,4.372,5.5079
183,4.3725,5.5007
184,4.3572,5.5626
185,4.3582,5.4746
186,4.3431,5.5339
187,4.3417,5.5022
188,4.34,5.5534
189,4.3258,5.563
190,4.3186,5.5821
191,4.3134,5.5202
192,4.3061,5.5612
193,4.2893,5.5434
194,4.2926,5.503
195,4.2888,5.5964
196,4.2825,5.5052
197,4.2723,5.5478
198,4.2794,5.5897
199,4.2522,5.5585
200,4.2465,5.5658
201,4.2368,5.5018
202,4.2344,5.5791
203,4.233,5.4907
204,4.2154,5.5838
205,4.2189,5.5592
206,4.2139,5.5678
207,4.2019,5.5318
208,4.1913,5.5948
209,4.1929,5.6078
210,4.1869,5.6222
211,4.1785,5.5741
212,4.1602,5.5481
213,4.1759,5.5483
214,4.1636,5.5503
215,4.141,5.579
216,4.1419,5.5875
217,4.1377,5.5398
218,4.1289,5.6278
219,4.1209,5.5255
220,4.1149,5.5542
221,4.0962,5.5479
222,4.1028,5.635
223,4.0853,5.5398
224,4.0872,5.5422
225,4.0867,5.5911
226,4.0724,5.6131
227,4.0708,5.6216
228,4.0624,5.568
229,4.0513,5.5955
230,4.0509,5.6255
231,4.0479,5.6971
232,4.0368,5.612
233,4.0374,5.5891
234,4.0323,5.5605
235,4.0085,5.5848
236,4.0144,5.6329
237,4.0038,5.5955
238,3.9985,5.5943
239,3.9964,5.5816
240,3.9796,5.6335
241,3.9795,5.5693
242,3.9708,5.5796
243,3.9602,5.6105
244,3.9709,5.6572
245,3.9536,5.6545
