epoch,train acc,val acc
1,0.3094,0.3294
2,0.308,0.2769
3,0.253,0.2284
4,0.2392,0.234
5,0.2489,0.2443
6,0.2658,0.2665
7,0.2895,0.2816
8,0.3064,0.3041
9,0.3224,0.3229
10,0.3387,0.3346
11,0.3491,0.3505
12,0.3639,0.3574
13,0.3732,0.3614
14,0.3839,0.3723
15,0.391,0.3901
16,0.3979,0.3878
17,0.4026,0.4047
18,0.4078,0.3924
19,0.4091,0.4001
20,0.4134,0.4114
21,0.413,0.4026
22,0.4168,0.4107
23,0.4186,0.4138
24,0.4202,0.4075
25,0.4175,0.4121
26,0.42,0.404
27,0.4184,0.4152
28,0.4178,0.4122
29,0.4217,0.409
30,0.4204,0.4006
31,0.4208,0.3998
32,0.4208,0.4105
33,0.4193,0.417
34,0.4224,0.4071
35,0.4198,0.4056
36,0.4208,0.4114
37,0.4218,0.4089
38,0.4178,0.4078
39,0.4166,0.414
40,0.4216,0.4071
41,0.4186,0.4057
42,0.4188,0.4014
43,0.4185,0.4009
44,0.4176,0.3976
45,0.4166,0.4075
46,0.4176,0.4066
47,0.4186,0.4053
48,0.4171,0.404
49,0.4192,0.407
50,0.4182,0.4014
51,0.4166,0.4047
52,0.4166,0.3948
53,0.4159,0.3988
54,0.4167,0.3948
55,0.418,0.4084
56,0.42,0.4004
57,0.4189,0.402
58,0.419,0.4018
59,0.4176,0.3939
60,0.418,0.3968
61,0.4184,0.41
62,0.4212,0.394
63,0.4183,0.3946
64,0.4194,0.3957
65,0.4198,0.3898
66,0.4182,0.3971
67,0.4193,0.4042
68,0.4218,0.394
69,0.4195,0.3914
70,0.4192,0.3959
71,0.4214,0.3981
72,0.4216,0.3985
73,0.421,0.4008
74,0.4222,0.403
75,0.4222,0.3942
76,0.4197,0.4044
77,0.4206,0.3965
78,0.4218,0.3992
79,0.4226,0.4015
80,0.4228,0.3985
81,0.423,0.4005
82,0.424,0.3959
83,0.4258,0.3962
84,0.4226,0.3982
85,0.4259,0.397
86,0.4264,0.3953
87,0.4246,0.3978
88,0.4258,0.392
89,0.4254,0.3948
90,0.4274,0.3905
91,0.4263,0.3994
92,0.4258,0.3954
93,0.4272,0.4033
94,0.4276,0.3955
95,0.4269,0.3954
96,0.4276,0.3928
97,0.4288,0.3964
98,0.4287,0.3952
99,0.4292,0.3984
100,0.4305,0.3953
