epoch,train loss,test loss
1,7.2361,7.0969
2,6.9316,6.8227
3,6.6504,6.5326
4,6.3572,6.2746
5,6.1203,6.0558
6,5.9214,5.8723
7,5.7391,5.7249
8,5.572,5.5464
9,5.4213,5.3992
10,5.2699,5.2871
11,5.1352,5.1233
12,4.9921,5.0279
13,4.8719,4.9131
14,4.7617,4.8174
15,4.6644,4.7
16,4.5812,4.637
17,4.4901,4.5655
18,4.4254,4.5206
19,4.3725,4.4727
20,4.3009,4.4147
21,4.2641,4.3978
22,4.2032,4.3408
23,4.1555,4.3162
24,4.1094,4.3105
25,4.0977,4.2543
26,4.0504,4.259
27,4.0311,4.2316
28,4.0009,4.2315
29,3.9499,4.2608
30,3.9385,4.2533
31,3.9082,4.2698
32,3.8918,4.2135
33,3.8775,4.166
34,3.8309,4.2289
35,3.8301,4.2152
36,3.794,4.2217
37,3.7705,4.2132
38,3.7758,4.2016
39,3.7666,4.1971
40,3.7241,4.1879
41,3.7285,4.2019
42,3.7101,4.194
43,3.692,4.243
44,3.6787,4.2292
45,3.6667,4.1809
46,3.6556,4.1851
47,3.6371,4.1723
48,3.6291,4.2544
49,3.6079,4.1678
50,3.6047,4.2216
51,3.5962,4.2597
52,3.5949,4.271
53,3.5832,4.2421
54,3.5752,4.2554
55,3.5524,4.232
56,3.5359,4.257
57,3.5328,4.2438
58,3.5187,4.2711
59,3.5158,4.3245
60,3.5157,4.3164
61,3.4949,4.2677
62,3.4767,4.3261
63,3.4828,4.3454
64,3.4689,4.3251
65,3.4577,4.3749
66,3.4586,4.3151
67,3.4497,4.3156
68,3.4341,4.3548
69,3.4386,4.3351
70,3.4287,4.3411
71,3.4121,4.3488
72,3.4016,4.3642
73,3.3996,4.35
74,3.3894,4.3624
75,3.3785,4.3625
76,3.3896,4.3631
77,3.3823,4.3923
78,3.3667,4.3731
79,3.3628,4.3991
80,3.3466,4.4049
81,3.3473,4.3977
82,3.3307,4.4477
83,3.3217,4.4135
84,3.3352,4.44
85,3.3103,4.4826
86,3.3121,4.4952
87,3.309,4.4723
88,3.3085,4.4916
89,3.2951,4.4838
90,3.277,4.5123
91,3.2884,4.4844
92,3.291,4.5034
93,3.2677,4.4794
94,3.2712,4.4995
95,3.2687,4.5812
96,3.2626,4.5499
97,3.2505,4.5385
98,3.2573,4.5841
99,3.2433,4.5621
100,3.2326,4.5737
